Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,7328.46541767099,7189.69468285943,-3573.76331087315,0.387041856383205,1.82872857818962,1.50863237576656,0.224365942028986,0.224365942028986,0.275634057971014,0.275634057971014,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+G,20,7331.73989635516,7199.56998861611,-3579.70861678487,n/a,0.415673884514645,1.56242564813481,0.224365942028986,0.224365942028986,0.275634057971014,0.275634057971014,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+I,20,7342.2561282738,7210.08622053475,-3584.96673274419,0.45343986295966,n/a,1.38246882254837,0.224365942028986,0.224365942028986,0.275634057971014,0.275634057971014,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
HKY+G+I,23,7345.52111685853,7193.55092801774,-3573.67502732765,0.386137170487431,1.81181383503195,1.50896797262412,0.220471014492754,0.228260869565217,0.27554347826087,0.275724637681159,0.05,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.13,0.05,0.05
K2+G+I,20,7346.35060893661,7214.18070119756,-3587.01397307559,0.382085522174616,1.85075650923029,1.4478978977904,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93+G+I,24,7348.2985384926,7189.72972349586,-3570.75567157505,0.385837631202496,1.77031234917129,1.55265712790214,0.220471014492754,0.228260869565217,0.27554347826087,0.275724637681159,0.04,0.05,0.14,0.04,0.2,0.05,0.04,0.17,0.05,0.11,0.04,0.05
HKY+G,22,7348.60783370584,7203.23700506028,-3579.52645232094,n/a,0.415569753897937,1.56246476286405,0.220471014492754,0.228260869565217,0.27554347826087,0.275724637681159,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.13,0.04,0.05
K2+G,19,7348.89239687978,7223.32404905181,-3592.59293361681,n/a,0.430382333479771,1.4962201385825,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93+G,23,7351.8945167887,7199.92432794791,-3576.86172729273,n/a,0.412191262682961,1.6016436923787,0.220471014492754,0.228260869565217,0.27554347826087,0.275724637681159,0.04,0.05,0.14,0.04,0.2,0.05,0.04,0.17,0.05,0.11,0.04,0.05
K2+I,19,7359.51452130712,7233.94617347915,-3597.90399583048,0.451466186460214,n/a,1.33675537113027,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY+I,22,7359.57895215574,7214.20812351019,-3585.01201154589,0.453358237609244,n/a,1.38203130254235,0.220471014492754,0.228260869565217,0.27554347826087,0.275724637681159,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
