Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G,26,8710.63218333539,8531.90017340779,-4239.85221970264,n/a,0.302167639980613,2.84174773644789,0.245833333333333,0.250972222222222,0.248472222222222,0.254722222222222,0.02,0.02,0.09,0.02,0.28,0.01,0.02,0.29,0.07,0.08,0.01,0.07
GTR+G+I,27,8712.13319964336,8526.53443926324,-4236.16180970413,0.387724534740028,0.942644664498091,2.76055399344823,0.245833333333333,0.250972222222222,0.248472222222222,0.254722222222222,0.02,0.02,0.09,0.02,0.28,0.02,0.02,0.28,0.07,0.09,0.02,0.07
TN93+G,23,8718.32971648768,8560.20132762644,-4257.02374073629,n/a,0.28011636531865,3.03271670631596,0.245833333333333,0.250972222222222,0.248472222222222,0.254722222222222,0.03,0.03,0.08,0.03,0.29,0.03,0.03,0.3,0.03,0.08,0.03,0.03
TN93+G+I,24,8719.14309623246,8554.14627229912,-4252.98951245618,0.362493404186852,0.719794073393439,2.92096724728128,0.245833333333333,0.250972222222222,0.248472222222222,0.254722222222222,0.03,0.03,0.09,0.03,0.29,0.03,0.03,0.29,0.03,0.08,0.03,0.03
K2+G+I,20,8737.89664089425,8600.376922734,-4280.12995739709,0.403686604426033,0.86808248508791,2.56411892680878,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
K2+G,19,8738.7133599466,8608.06431973369,-4284.97923507576,n/a,0.283662113633739,2.58217166635479,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
T92+G+I,21,8744.2626945886,8599.87285884832,-4278.87206609176,0.402747458306516,0.857179423531958,2.58077412255122,0.248402777777778,0.248402777777778,0.251597222222222,0.251597222222222,0.03,0.04,0.18,0.03,0.18,0.04,0.03,0.18,0.04,0.18,0.03,0.04
T92+G,20,8745.07159505787,8607.55187689761,-4283.71743447889,n/a,0.282377293017098,2.5983320361898,0.248402777777778,0.248402777777778,0.251597222222222,0.251597222222222,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
GTR+I,26,8759.02970944476,8580.29769951716,-4264.05098275733,0.509972059387924,n/a,2.13811763963493,0.245833333333333,0.250972222222222,0.248472222222222,0.254722222222222,0.02,0.03,0.11,0.02,0.23,0.03,0.03,0.23,0.08,0.11,0.03,0.08
HKY+G+I,23,8761.32034479889,8603.19195593764,-4278.5190548919,0.401912254226323,0.851227365041839,2.58621998637408,0.245833333333333,0.250972222222222,0.248472222222222,0.254722222222222,0.03,0.03,0.18,0.03,0.18,0.04,0.03,0.18,0.04,0.18,0.03,0.03
HKY+G,22,8762.11639042326,8610.85699770453,-4283.35799585659,n/a,0.28205152521512,2.60323665575525,0.245833333333333,0.250972222222222,0.248472222222222,0.254722222222222,0.03,0.03,0.18,0.03,0.18,0.04,0.03,0.18,0.04,0.18,0.03,0.03
TN93+I,23,8778.82526531258,8620.69687645133,-4287.27151514874,0.51539115657251,n/a,2.04261713938865,0.245833333333333,0.250972222222222,0.248472222222222,0.254722222222222,0.04,0.04,0.11,0.04,0.23,0.04,0.04,0.23,0.04,0.11,0.04,0.04
K2+I,19,8785.04002877241,8654.3909885595,-4308.14256948866,0.522924737436166,n/a,2.02796396980824,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+I,20,8792.11073629384,8654.59101813359,-4307.23700509688,0.523094941131015,n/a,2.03354283375802,0.248402777777778,0.248402777777778,0.251597222222222,0.251597222222222,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+I,22,8809.54898394536,8658.28959122663,-4307.07429261764,0.523093758486751,n/a,2.03398730192579,0.245833333333333,0.250972222222222,0.248472222222222,0.254722222222222,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.16,0.04,0.04
JC+G+I,19,9041.32995378127,8910.68091356836,-4436.28753199309,0.448857231185998,1.67270071952656,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,9043.05034072356,8919.27253859124,-4441.58864361674,n/a,0.33354942688006,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,9063.4679973299,8939.69019519758,-4451.79747191991,0.519133185789304,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,9304.08912997224,9132.22443227186,-4541.02161117357,n/a,n/a,1.42109851155127,0.245833333333333,0.250972222222222,0.248472222222222,0.254722222222222,0.04,0.03,0.1,0.04,0.19,0.04,0.03,0.2,0.1,0.1,0.03,0.09
TN93,22,9336.20434842805,9184.94495570932,-4570.40197485898,n/a,n/a,1.67441235859619,0.245833333333333,0.250972222222222,0.248472222222222,0.254722222222222,0.05,0.05,0.1,0.05,0.22,0.05,0.05,0.22,0.05,0.1,0.05,0.05
K2,18,9369.95592449299,9246.17812236066,-4605.04143550146,n/a,n/a,1.64412968149961,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92,19,9378.83902658217,9248.18998636927,-4605.04206839355,n/a,n/a,1.64425288679601,0.248402777777778,0.248402777777778,0.251597222222222,0.251597222222222,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY,21,9396.31070548783,9251.92086974756,-4604.89607154137,n/a,n/a,1.64436250569429,0.245833333333333,0.250972222222222,0.248472222222222,0.254722222222222,0.05,0.05,0.16,0.05,0.15,0.05,0.05,0.16,0.05,0.15,0.05,0.05
JC,17,9611.66307119619,9494.7570670437,-4730.33592700556,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
