Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,6186.30748055772,6062.76840049968,-3011.26684903442,n/a,0.528938271231964,1.55292874434565,0.210694444444444,0.210694444444444,0.289305555555556,0.289305555555556,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
T92+G+I,21,6189.73003600923,6060.02580922542,-3008.88378219795,0.208270142927786,1.20318702852274,1.46577272158464,0.210694444444444,0.210694444444444,0.289305555555556,0.289305555555556,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
HKY+G,22,6203.93149472732,6068.06325263646,-3011.89016699477,n/a,0.540954717398222,1.52518133779548,0.180555555555556,0.240833333333333,0.273055555555556,0.305555555555556,0.05,0.05,0.19,0.04,0.17,0.06,0.04,0.15,0.06,0.11,0.05,0.05
HKY+G+I,23,6207.53333241111,6065.50220738111,-3009.59674127445,0.204072866770212,1.20948651970032,1.440373824047,0.180555555555556,0.240833333333333,0.273055555555556,0.305555555555556,0.05,0.05,0.18,0.04,0.16,0.06,0.04,0.14,0.06,0.11,0.05,0.05
TN93+G,23,6211.29402928506,6069.26290425505,-3011.47708971142,n/a,0.539266637260963,1.53995820521411,0.180555555555556,0.240833333333333,0.273055555555556,0.305555555555556,0.05,0.05,0.17,0.03,0.18,0.06,0.03,0.16,0.06,0.1,0.05,0.05
TN93+G+I,24,6214.69561242045,6066.50273776945,-3009.08353671689,0.206453146819361,1.22368076203091,1.45490082593462,0.180555555555556,0.240833333333333,0.273055555555556,0.305555555555556,0.05,0.05,0.16,0.04,0.18,0.06,0.04,0.16,0.06,0.1,0.05,0.05
GTR+G+I,27,6224.44828512546,6057.7769710387,-3001.67683938273,0.188018308415373,1.16912956908523,1.43608060882518,0.180555555555556,0.240833333333333,0.273055555555556,0.305555555555556,0.02,0.09,0.17,0.02,0.18,0.04,0.06,0.16,0.07,0.1,0.03,0.07
T92+I,20,6224.4689562333,6100.92987617526,-3030.34758687221,0.298541768246106,n/a,1.20423814772489,0.210694444444444,0.210694444444444,0.289305555555556,0.289305555555556,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
K2+G,19,6224.96087368268,6107.58807082103,-3034.68789015912,n/a,0.584018429471613,1.38216432549769,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
GTR+G,26,6227.39045005922,6066.87747992695,-3007.24226641184,n/a,0.575676953785325,1.34233101056766,0.180555555555556,0.240833333333333,0.273055555555556,0.305555555555556,0.05,0.09,0.18,0.04,0.15,0.03,0.06,0.14,0.07,0.11,0.03,0.06
K2+G+I,20,6227.88192799032,6104.34284793228,-3032.05407275072,0.208386028759773,1.36552201551678,1.30913156234022,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY+I,22,6241.97344730974,6106.10520521888,-3030.91114328598,0.296771474345691,n/a,1.18598718405412,0.180555555555556,0.240833333333333,0.273055555555556,0.305555555555556,0.05,0.06,0.17,0.04,0.15,0.07,0.04,0.13,0.07,0.1,0.05,0.06
