Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,5157.86131717998,5038.84421474151,-2499.27520285869,n/a,0.572282715156892,1.67224238422884,0.233159722222222,0.233159722222222,0.266840277777778,0.266840277777778,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
T92+G+I,21,5163.52039002915,5038.56723600251,-2498.12196649671,0.159312857779514,1.02203386522777,1.60607301980618,0.233159722222222,0.233159722222222,0.266840277777778,0.266840277777778,0.04,0.05,0.16,0.04,0.16,0.05,0.04,0.14,0.05,0.14,0.04,0.05
K2+G,19,5164.8253790039,5051.74574738016,-2506.74000655721,n/a,0.596853174257936,1.59754607078543,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G+I,20,5170.39753271852,5051.38043028005,-2505.54331062796,0.159043034731248,1.07118912404914,1.53616179731256,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
GTR+G,26,5171.62419951494,5017.01212817823,-2482.26000730678,n/a,0.569481987154389,1.67639854288118,0.21875,0.247569444444444,0.251041666666667,0.282638888888889,0,0.1,0.2,0,0.13,0.04,0.09,0.13,0.06,0.16,0.03,0.05
HKY+G,22,5177.81838050692,5046.93059560894,-2501.28818894903,n/a,0.577276654940296,1.65493638607214,0.21875,0.247569444444444,0.251041666666667,0.282638888888889,0.05,0.05,0.18,0.04,0.16,0.05,0.04,0.15,0.05,0.14,0.05,0.05
GTR+G+I,27,5179.51729720019,5018.97772100338,-2482.22378336284,0.042287730977254,0.644471921546539,1.66638891178875,0.21875,0.247569444444444,0.251041666666667,0.282638888888889,0,0.1,0.2,0,0.13,0.04,0.09,0.13,0.06,0.16,0.03,0.05
TN93+G,23,5182.96537532644,5046.1443817663,-2499.87891357223,n/a,0.581518086968122,1.6666588528642,0.21875,0.247569444444444,0.251041666666667,0.282638888888889,0.05,0.05,0.21,0.04,0.13,0.05,0.04,0.13,0.05,0.16,0.05,0.05
HKY+G+I,23,5183.91705289533,5047.09605933519,-2500.35475235667,0.149018355044703,0.980648828684063,1.59447601542648,0.21875,0.247569444444444,0.251041666666667,0.282638888888889,0.05,0.05,0.17,0.04,0.15,0.05,0.04,0.15,0.05,0.13,0.05,0.05
TN93+G+I,24,5189.01642657499,5046.2636480563,-2498.92166640994,0.150060669270588,0.996813251022238,1.60602181111775,0.21875,0.247569444444444,0.251041666666667,0.282638888888889,0.05,0.05,0.21,0.04,0.13,0.05,0.04,0.13,0.05,0.16,0.05,0.05
T92+I,20,5201.74999304165,5082.73289060318,-2521.21954078952,0.273718787829986,n/a,1.28107586737441,0.233159722222222,0.233159722222222,0.266840277777778,0.266840277777778,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2+I,19,5206.15615922487,5093.07652760114,-2527.4053966677,0.272494551845276,n/a,1.25063181296297,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
HKY+I,22,5223.86814845773,5092.98036355975,-2524.31307292443,0.272689350244955,n/a,1.26865566747741,0.21875,0.247569444444444,0.251041666666667,0.282638888888889,0.05,0.06,0.16,0.05,0.14,0.06,0.05,0.14,0.06,0.12,0.05,0.06
TN93+I,23,5227.61665197372,5090.79565841358,-2522.20455189586,0.271796353900686,n/a,1.27478073974288,0.21875,0.247569444444444,0.251041666666667,0.282638888888889,0.05,0.05,0.18,0.05,0.12,0.06,0.05,0.12,0.06,0.14,0.05,0.05
GTR+I,26,5231.45519278408,5076.84312144737,-2512.17550394135,0.267516612647601,n/a,1.31781565247494,0.21875,0.247569444444444,0.251041666666667,0.282638888888889,0.01,0.08,0.19,0.01,0.12,0.06,0.07,0.12,0.06,0.15,0.06,0.06
