Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,2359.60853153509,2241.45157362597,-1101.62391013738,n/a,0.12579785310534,2.48709779405309,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
K2+G+I,20,2367.46931289446,2243.10435197937,-1101.43954525759,0.306582272431817,0.257070965081363,2.52604094584533,0.25,0.25,0.25,0.25,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.18,0.04,0.18,0.04,0.04
T92+G,20,2368.00501979245,2243.64005887736,-1101.70739870658,n/a,0.127823431428884,2.47280783015126,0.235733333333333,0.235733333333333,0.264266666666667,0.264266666666667,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.17,0.04,0.17,0.03,0.04
T92+G+I,21,2375.91890361305,2245.34702419205,-1101.5495850574,0.264008441410816,0.233610930028576,2.50668956526627,0.235733333333333,0.235733333333333,0.264266666666667,0.264266666666667,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.17,0.04,0.17,0.03,0.04
HKY+G,22,2386.44916281652,2249.67145026262,-1102.69995909965,n/a,0.128157860780565,2.48425978373833,0.252533333333333,0.218933333333333,0.2648,0.263733333333333,0.03,0.04,0.19,0.04,0.19,0.04,0.04,0.16,0.04,0.18,0.03,0.04
TN93+G,23,2388.57033609476,2245.58787665487,-1099.64579017929,n/a,0.146917342525704,2.43358289889243,0.252533333333333,0.218933333333333,0.2648,0.263733333333333,0.03,0.04,0.12,0.04,0.26,0.04,0.04,0.22,0.04,0.11,0.03,0.04
GTR+G,26,2390.90949957822,2229.3193257148,-1088.47110524257,n/a,0.158399827954229,2.43495709347967,0.252533333333333,0.218933333333333,0.2648,0.263733333333333,0.05,0.01,0.12,0.06,0.26,0.09,0.01,0.22,0,0.11,0.07,0
HKY+G+I,23,2394.42579910641,2251.44333966652,-1102.57352168511,0.237975624654003,0.220133658116238,2.51287193241302,0.252533333333333,0.218933333333333,0.2648,0.263733333333333,0.03,0.04,0.19,0.04,0.19,0.04,0.04,0.16,0.04,0.18,0.03,0.04
TN93+G+I,24,2396.1772961705,2246.99117696636,-1099.33451465767,0.378070676484511,0.346145307757664,2.5036587206048,0.252533333333333,0.218933333333333,0.2648,0.263733333333333,0.03,0.04,0.12,0.04,0.27,0.04,0.04,0.22,0.04,0.11,0.03,0.04
GTR+G+I,27,2398.71391968149,2230.9233526774,-1088.25855973473,0.304127879441314,0.302199083236305,2.46400303044023,0.252533333333333,0.218933333333333,0.2648,0.263733333333333,0.05,0.01,0.11,0.06,0.26,0.09,0.01,0.22,0,0.11,0.07,0
K2+I,19,2400.47851538701,2282.32155747789,-1122.05890206334,0.408,n/a,2.18691347276738,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+I,20,2408.00415777998,2283.63919686489,-1121.70696770035,0.408,n/a,2.18388132675748,0.235733333333333,0.235733333333333,0.264266666666667,0.264266666666667,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
JC+G,18,2410.2691974217,2298.3213261466,-1131.06899864017,n/a,0.137853790018792,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,2418.4773147886,2300.32035687948,-1131.05830176414,0.0766645962389798,0.164057566637523,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93+I,23,2423.89419127336,2280.91173183347,-1117.30771776859,0.408,n/a,2.19292548327205,0.252533333333333,0.218933333333333,0.2648,0.263733333333333,0.03,0.04,0.11,0.04,0.26,0.04,0.04,0.22,0.04,0.11,0.03,0.04
HKY+I,22,2426.27281747408,2289.49510492018,-1122.61178642843,0.408,n/a,2.1887750547196,0.252533333333333,0.218933333333333,0.2648,0.263733333333333,0.03,0.04,0.18,0.04,0.18,0.04,0.04,0.15,0.04,0.17,0.03,0.04
GTR+I,26,2428.87176696702,2267.2815931036,-1107.45223893697,0.408,n/a,1.72635368859997,0.252533333333333,0.218933333333333,0.2648,0.263733333333333,0.06,0.04,0.11,0.06,0.23,0.09,0.04,0.19,0.01,0.1,0.07,0.01
K2,18,2432.64774163391,2320.69987035881,-1142.25827074627,n/a,n/a,2.11564912462609,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92,19,2439.92568006916,2321.76872216004,-1141.78248440442,n/a,n/a,2.11539688109576,0.235733333333333,0.235733333333333,0.264266666666667,0.264266666666667,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
JC+I,18,2446.05417813462,2334.10630685951,-1148.96148899663,0.408,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,2455.15280873037,2318.37509617648,-1137.05178205658,n/a,n/a,2.10701456232005,0.252533333333333,0.218933333333333,0.2648,0.263733333333333,0.03,0.04,0.11,0.04,0.25,0.04,0.04,0.21,0.04,0.11,0.03,0.04
HKY,21,2458.17949556221,2327.60761614121,-1142.67988103198,n/a,n/a,2.11559956014841,0.252533333333333,0.218933333333333,0.2648,0.263733333333333,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.15,0.04,0.17,0.04,0.04
GTR,25,2459.82008515984,2304.43139418895,-1127.04115359287,n/a,n/a,1.66393973645494,0.252533333333333,0.218933333333333,0.2648,0.263733333333333,0.06,0.04,0.11,0.07,0.22,0.09,0.04,0.18,0.01,0.1,0.07,0.01
JC,17,2476.8650452845,2371.12734340036,-1168.48167813105,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
