Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,3071.20946425702,2948.68009061214,-1455.25902185191,n/a,0.0756442800282879,1.48714781342829,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G+I,20,3075.94204095387,2946.972319888,-1453.39658860683,0.727076462199625,1.05764159602002,1.58931510878909,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G,20,3079.2814196161,2950.31169855024,-1455.06627793795,n/a,0.0755337618905168,1.48891193451364,0.250955414012739,0.250955414012739,0.249044585987261,0.249044585987261,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G+I,21,3083.99210003438,2948.58289208327,-1453.19289655358,0.727001383816942,1.0540196257964,1.59183739023906,0.250955414012739,0.250955414012739,0.249044585987261,0.249044585987261,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+G,22,3097.53744600295,2955.68961225313,-1455.73684794436,n/a,0.0747236383957389,1.5160502974434,0.257537154989384,0.244373673036093,0.237579617834395,0.260509554140127,0.05,0.05,0.16,0.05,0.14,0.05,0.05,0.15,0.05,0.16,0.05,0.05
JC+G,18,3098.35417266686,2982.26600642836,-1473.06009765034,n/a,0.0768214518661078,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93+G,23,3102.36356840013,2954.07797048941,-1453.92118754944,n/a,0.0919293837625191,1.45342940478963,0.257537154989384,0.244373673036093,0.237579617834395,0.260509554140127,0.05,0.05,0.11,0.05,0.18,0.05,0.05,0.19,0.05,0.11,0.05,0.05
HKY+G+I,23,3102.39481193897,2954.10921402826,-1453.93680931887,0.731292144310739,1.11300421626634,1.61373048860991,0.257537154989384,0.244373673036093,0.237579617834395,0.260509554140127,0.05,0.05,0.16,0.05,0.15,0.05,0.05,0.15,0.05,0.16,0.05,0.05
TN93+G+I,24,3103.51332823271,2948.79082835065,-1450.26734587223,0.628373140586306,0.476953198510935,1.6762583184399,0.257537154989384,0.244373673036093,0.237579617834395,0.260509554140127,0.05,0.04,0.09,0.05,0.22,0.05,0.05,0.22,0.05,0.09,0.05,0.04
JC+G+I,19,3105.32908972151,2982.79971607662,-1472.31883458415,0.276665274064112,0.157194433907169,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR+G,26,3111.5423034135,2943.94858836673,-1445.82439027561,n/a,0.098879179935463,1.47532151008564,0.257537154989384,0.244373673036093,0.237579617834395,0.260509554140127,0.09,0.05,0.11,0.1,0.19,0.05,0.05,0.19,0.01,0.11,0.04,0.01
GTR+G+I,27,3112.18805038504,2938.16002325075,-1441.91854216788,0.628130391523101,0.477281382427943,1.76432989879461,0.257537154989384,0.244373673036093,0.237579617834395,0.260509554140127,0.1,0.03,0.09,0.1,0.23,0.05,0.03,0.24,0,0.09,0.05,0
K2+I,19,3184.40971949483,3061.88034584994,-1511.85914947081,0.411889596602972,n/a,1.25630304060845,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
T92+I,20,3192.60530152161,3063.63558045575,-1511.7282188907,0.411889596602972,n/a,1.25653983364687,0.250955414012739,0.250955414012739,0.249044585987261,0.249044585987261,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC+I,18,3205.88714676344,3089.79898052494,-1526.82658469862,0.411889596602972,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93+I,23,3207.10027259747,3058.81467468675,-1506.28953964811,0.411889596602972,n/a,1.26677306108222,0.257537154989384,0.244373673036093,0.237579617834395,0.260509554140127,0.05,0.05,0.09,0.06,0.19,0.06,0.06,0.2,0.06,0.09,0.05,0.05
GTR+I,26,3210.36108260942,3042.76736756265,-1495.23377987357,0.411889596602972,n/a,1.25848801841271,0.257537154989384,0.244373673036093,0.237579617834395,0.260509554140127,0.1,0.05,0.09,0.11,0.19,0.05,0.06,0.2,0.01,0.09,0.05,0.01
HKY+I,22,3210.94970108856,3069.10186733875,-1512.44297548717,0.411889596602972,n/a,1.26054713741116,0.257537154989384,0.244373673036093,0.237579617834395,0.260509554140127,0.05,0.05,0.15,0.06,0.13,0.06,0.06,0.14,0.06,0.14,0.05,0.05
K2,18,3264.56267327912,3148.47450704062,-1556.16434795646,n/a,n/a,1.21409242527306,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
T92,19,3272.78697623638,3150.2576025915,-1556.04777784159,n/a,n/a,1.21411202288323,0.250955414012739,0.250955414012739,0.249044585987261,0.249044585987261,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC,17,3284.81383561369,3175.16773621712,-1570.51865071726,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
