Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
HKY+G+I,23,9894.29241808413,9734.13384292766,-4843.9964773597,0.36674705470328,1.12965175530146,2.12392222659256,0.181424936386768,0.28117048346056,0.275699745547074,0.261704834605598,0.05,0.04,0.18,0.03,0.19,0.04,0.03,0.19,0.04,0.12,0.05,0.04
HKY+G,22,9895.28844631269,9742.08765587842,-4848.97926241669,n/a,0.360157873376015,2.19500139928743,0.181424936386768,0.28117048346056,0.275699745547074,0.261704834605598,0.04,0.04,0.18,0.03,0.19,0.04,0.03,0.19,0.04,0.12,0.04,0.04
TN93+G+I,24,9896.22092271332,9729.10507636552,-4840.47595873158,0.364888636333217,1.10106840374079,2.22167061054886,0.181424936386768,0.28117048346056,0.275699745547074,0.261704834605598,0.04,0.04,0.14,0.03,0.22,0.04,0.03,0.22,0.04,0.1,0.04,0.04
TN93+G,23,9897.08814919599,9736.92957403953,-4845.39434291563,n/a,0.35470548290799,2.3065620167827,0.181424936386768,0.28117048346056,0.275699745547074,0.261704834605598,0.04,0.04,0.14,0.03,0.22,0.04,0.03,0.23,0.04,0.1,0.04,0.04
GTR+G,26,9912.71631520595,9731.6874678548,-4839.75411309247,n/a,0.355651112638559,2.36381925611904,0.181424936386768,0.28117048346056,0.275699745547074,0.261704834605598,0.02,0.06,0.14,0.02,0.23,0.03,0.04,0.23,0.05,0.1,0.03,0.05
GTR+G+I,27,9914.00702388801,9726.02244711846,-4835.91469649079,0.339766604904449,0.959352510871252,2.29175339218917,0.181424936386768,0.28117048346056,0.275699745547074,0.261704834605598,0.03,0.06,0.14,0.02,0.22,0.03,0.04,0.23,0.05,0.1,0.04,0.05
T92+G+I,21,9918.34584463344,9772.10335225568,-4864.99273251978,0.383821145594051,1.25955433698041,2.15599071788273,0.231297709923664,0.231297709923664,0.268702290076336,0.268702290076336,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G,20,9921.37454956761,9782.09086838421,-4870.99185592957,n/a,0.359172259322394,2.23819487054075,0.231297709923664,0.231297709923664,0.268702290076336,0.268702290076336,0.04,0.04,0.19,0.04,0.19,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G+I,20,9937.34077914868,9798.05709796528,-4878.97497072011,0.38250962619593,1.33649707266111,2.04790789434012,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+I,22,9937.67355680844,9784.47276637417,-4870.17181766457,0.477210273536362,n/a,1.84229034316845,0.181424936386768,0.28117048346056,0.275699745547074,0.261704834605598,0.05,0.05,0.17,0.03,0.18,0.05,0.03,0.18,0.05,0.12,0.05,0.05
K2+G,19,9940.12727356308,9807.80291651555,-4884.85298887002,n/a,0.375149575771891,2.11949606092315,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
TN93+I,23,9940.97018148755,9780.81160633108,-4867.33535906141,0.476403853448081,n/a,1.86848184571899,0.181424936386768,0.28117048346056,0.275699745547074,0.261704834605598,0.05,0.05,0.14,0.03,0.2,0.05,0.03,0.2,0.05,0.1,0.05,0.05
T92+I,20,9956.71846529019,9817.4347841068,-4888.66381379086,0.479265523673974,n/a,1.88230261398977,0.231297709923664,0.231297709923664,0.268702290076336,0.268702290076336,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
