Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,22510.9976777286,22350.5321987235,-11154.2361149381,0.305653904884185,1.5146642883339,1.68811569480715,0.226604018146468,0.226604018146468,0.273395981853532,0.273395981853532,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G+I,24,22518.1885723029,22334.8088144011,-11143.3654588072,0.312592974581595,1.59202266290601,1.73230832830712,0.227284510693454,0.225923525599482,0.257355800388853,0.289436163318211,0.04,0.05,0.14,0.04,0.21,0.05,0.04,0.18,0.05,0.11,0.04,0.05
GTR+G+I,27,22522.2382147064,22315.9465222507,-11130.9241765909,0.296690933765795,1.39714743431193,1.74914787998922,0.227284510693454,0.225923525599482,0.257355800388853,0.289436163318211,0.02,0.06,0.14,0.02,0.21,0.04,0.06,0.18,0.06,0.11,0.03,0.05
T92+G,20,22534.921264512,22382.0943992008,-11171.0199428024,n/a,0.480228731967916,1.77368934645007,0.226604018146468,0.226604018146468,0.273395981853532,0.273395981853532,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
HKY+G+I,23,22540.0280893227,22364.2861639715,-11159.1072517897,0.301198940874762,1.44932639667737,1.69646593202961,0.227284510693454,0.225923525599482,0.257355800388853,0.289436163318211,0.04,0.05,0.18,0.04,0.16,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+G,26,22542.4106405497,22343.7559990448,-11145.8324239852,n/a,0.473414620484975,1.8168145534167,0.227284510693454,0.225923525599482,0.257355800388853,0.289436163318211,0.02,0.07,0.14,0.02,0.21,0.04,0.06,0.18,0.06,0.11,0.03,0.05
TN93+G,23,22546.874333704,22371.1324083529,-11162.5303739804,n/a,0.474790012035585,1.81948518461582,0.227284510693454,0.225923525599482,0.257355800388853,0.289436163318211,0.04,0.05,0.14,0.04,0.21,0.05,0.04,0.18,0.05,0.11,0.04,0.05
HKY+G,22,22561.8829984127,22393.779166044,-11174.8567408074,n/a,0.477481760533797,1.78244402672595,0.227284510693454,0.225923525599482,0.257355800388853,0.289436163318211,0.04,0.05,0.19,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
K2+G+I,20,22566.6885980321,22413.8617327209,-11186.9036095625,0.303954083639745,1.57091276411264,1.62667009490885,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,22590.0658741835,22444.877882846,-11203.4142821109,n/a,0.497738791609773,1.70159337449024,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
