Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,1639.81111231694,1535.82278167528,-748.697907691571,n/a,0.125850449470468,2.66671107346365,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2+G+I,20,1643.14957637621,1533.71091287795,-746.619368749262,0.614956567982578,0.603591812261761,2.79935641105926,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
K2+I,19,1644.88714703846,1540.89881639679,-751.235925052329,0.702410579982376,n/a,2.1443108684073,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G,20,1646.81188640931,1537.37322291105,-748.450523765812,n/a,0.12573119869333,2.66907588694891,0.255277777777778,0.255277777777778,0.244722222222222,0.244722222222222,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.19,0.03,0.19,0.03,0.03
T92+G+I,21,1650.31638697295,1535.42969119075,-746.455003075691,0.614882669139464,0.604390059364955,2.8038724247676,0.255277777777778,0.255277777777778,0.244722222222222,0.244722222222222,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.19,0.03,0.19,0.03,0.03
T92+I,20,1651.95929936578,1542.52063586752,-751.024230244046,0.702383415558289,n/a,2.14379912082071,0.255277777777778,0.255277777777778,0.244722222222222,0.244722222222222,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G,22,1660.85403899382,1540.52161538425,-747.976058114183,n/a,0.125135186937173,2.84763647094753,0.275,0.235555555555556,0.209444444444444,0.28,0.03,0.03,0.21,0.04,0.15,0.04,0.04,0.17,0.04,0.2,0.03,0.03
HKY+G+I,23,1665.15681421407,1539.38097112635,-746.379674752366,0.626879409748266,0.702279305631263,2.99579672817169,0.275,0.235555555555556,0.209444444444444,0.28,0.03,0.03,0.21,0.04,0.16,0.04,0.04,0.18,0.04,0.2,0.03,0.03
TN93+G,23,1665.96115446721,1540.1853113795,-746.781844878938,n/a,0.129729169034537,2.66703366618883,0.275,0.235555555555556,0.209444444444444,0.28,0.03,0.03,0.15,0.04,0.21,0.04,0.04,0.23,0.04,0.14,0.03,0.03
HKY+I,22,1666.35889562519,1546.02647201562,-750.728486429868,0.702223119866368,n/a,2.24962630585353,0.275,0.235555555555556,0.209444444444444,0.28,0.04,0.03,0.19,0.04,0.14,0.04,0.04,0.16,0.04,0.19,0.04,0.03
TN93+G+I,24,1669.30883057883,1538.09188026364,-744.707911962804,0.6132507825272,0.675222244367436,2.86828266332231,0.275,0.235555555555556,0.209444444444444,0.28,0.03,0.03,0.13,0.03,0.23,0.04,0.03,0.25,0.04,0.13,0.03,0.03
TN93+I,23,1670.82119992221,1545.0453568345,-749.211867606437,0.698898026774851,n/a,2.14883434842775,0.275,0.235555555555556,0.209444444444444,0.28,0.04,0.03,0.14,0.04,0.19,0.04,0.04,0.21,0.04,0.14,0.04,0.03
JC+G,18,1675.18199127824,1576.64629019062,-770.131118144161,n/a,0.139698901598498,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,1677.42826579855,1578.89256471094,-771.254255404319,0.699047712922478,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR+G,26,1679.48903479429,1537.39682242589,-742.30247212665,n/a,0.133625483844579,2.40724196213374,0.275,0.235555555555556,0.209444444444444,0.28,0.06,0,0.15,0.07,0.2,0.04,0,0.22,0.05,0.14,0.03,0.04
JC+G+I,19,1679.71777909775,1575.72944845608,-768.651241081975,0.62072804306042,0.797413689574742,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR+I,26,1681.19634855841,1539.10413619,-743.156129008708,0.697243893146386,n/a,2.02264935273646,0.275,0.235555555555556,0.209444444444444,0.28,0.06,0,0.14,0.07,0.19,0.05,0,0.21,0.06,0.14,0.04,0.04
GTR+G+I,27,1683.46910812737,1535.94274878019,-740.544737821248,0.64047589475899,1.06639647719654,2.49319698256977,0.275,0.235555555555556,0.209444444444444,0.28,0.06,0,0.14,0.06,0.21,0.04,0,0.23,0.05,0.14,0.04,0.03
K2,18,1778.1345879538,1679.59888686618,-821.607416481941,n/a,n/a,1.52374960165396,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92,19,1785.24073068378,1681.25240004211,-821.41271687499,n/a,n/a,1.52356596316222,0.255277777777778,0.255277777777778,0.244722222222222,0.244722222222222,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93,22,1796.81252944138,1676.4801058318,-815.955303337962,n/a,n/a,1.52672925611427,0.275,0.235555555555556,0.209444444444444,0.28,0.05,0.04,0.11,0.05,0.19,0.05,0.05,0.21,0.05,0.11,0.05,0.04
HKY,21,1800.13043352876,1685.24373774656,-821.362026353594,n/a,n/a,1.52439629846837,0.275,0.235555555555556,0.209444444444444,0.28,0.05,0.04,0.17,0.06,0.13,0.06,0.06,0.14,0.06,0.16,0.05,0.04
JC,17,1802.67555633932,1709.59477763673,-837.625671646645,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
