Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G+I,20,3383.10354770265,3266.32090736825,-1612.99632707217,0.429996318863611,2.04499201318752,2.09673285795469,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G,19,3383.18044902805,3272.22197514766,-1616.96255007383,n/a,0.374059173847979,2.21236497176069,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+I,19,3385.28233373909,3274.3238598587,-1618.01349242935,0.483313460865696,n/a,1.89965503193394,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
T92+G+I,21,3391.18606939425,3268.58085086092,-1613.10981557901,0.42987323504393,2.04274095525187,2.09647300014903,0.250968992248062,0.250968992248062,0.249031007751938,0.249031007751938,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+G,20,3391.25349344465,3274.47085311025,-1617.07129994317,n/a,0.374160582184274,2.21198019401295,0.250968992248062,0.250968992248062,0.249031007751938,0.249031007751938,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
T92+I,20,3393.37707647496,3276.59443614056,-1618.13309145832,0.483285519444326,n/a,1.89925192995498,0.250968992248062,0.250968992248062,0.249031007751938,0.249031007751938,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
GTR+G,26,3401.4593181677,3249.76509778749,-1598.60757827095,n/a,0.344770923121382,2.50995613160371,0.267054263565891,0.234883720930233,0.238759689922481,0.259302325581395,0.01,0.06,0.09,0.01,0.27,0,0.07,0.26,0.07,0.1,0,0.07
TN93+G+I,24,3401.59787590625,3261.53447095526,-1606.53240181814,0.418033573674753,1.71275828785466,2.37136825742822,0.267054263565891,0.234883720930233,0.238759689922481,0.259302325581395,0.03,0.03,0.1,0.04,0.25,0.04,0.04,0.25,0.04,0.1,0.03,0.03
TN93+G,23,3402.31144171852,3268.06583900909,-1610.81695706323,n/a,0.340642904650037,2.72691790331904,0.267054263565891,0.234883720930233,0.238759689922481,0.259302325581395,0.03,0.03,0.09,0.04,0.27,0.03,0.04,0.27,0.03,0.1,0.03,0.03
GTR+G+I,27,3403.84127543529,3246.3340456206,-1595.87078456578,0.360878449086244,1.02925370051918,2.42743270653471,0.267054263565891,0.234883720930233,0.238759689922481,0.259302325581395,0.01,0.06,0.09,0.01,0.26,0,0.07,0.26,0.07,0.1,0,0.07
TN93+I,23,3405.28545414974,3271.03985144031,-1612.30396327884,0.478431907847615,n/a,1.95127680279762,0.267054263565891,0.234883720930233,0.238759689922481,0.259302325581395,0.04,0.04,0.11,0.04,0.22,0.04,0.04,0.21,0.04,0.12,0.04,0.04
HKY+G+I,23,3410.35302347605,3276.10742076662,-1614.83774794199,0.431953581099321,2.10160451528975,2.11327089813068,0.267054263565891,0.234883720930233,0.238759689922481,0.259302325581395,0.04,0.04,0.18,0.04,0.16,0.04,0.04,0.16,0.04,0.18,0.04,0.04
HKY+G,22,3410.57763228381,3282.15142567002,-1618.87782468483,n/a,0.374248441135452,2.23782495211598,0.267054263565891,0.234883720930233,0.238759689922481,0.259302325581395,0.04,0.04,0.18,0.04,0.16,0.04,0.04,0.16,0.04,0.18,0.04,0.04
HKY+I,22,3412.1975309642,3283.7713243504,-1619.68777402503,0.483508133623474,n/a,1.90958915388449,0.267054263565891,0.234883720930233,0.238759689922481,0.259302325581395,0.04,0.04,0.17,0.05,0.16,0.04,0.05,0.15,0.04,0.17,0.04,0.04
