Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,8775.27281264407,8632.43563271405,-4295.14853021425,0.346190197115075,1.11467674790937,1.83933755019854,0.215171898355755,0.215171898355755,0.284828101644245,0.284828101644245,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+G,20,8777.99688562059,8641.95545847357,-4300.91475127907,n/a,0.378992342893285,1.89840962971854,0.215171898355755,0.215171898355755,0.284828101644245,0.284828101644245,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G+I,23,8790.24105003344,8633.81417607329,-4293.82427975581,0.344492597638485,1.09948555343321,1.85929725867567,0.178325859491779,0.252017937219731,0.289686098654709,0.279970104633782,0.04,0.05,0.18,0.03,0.19,0.05,0.03,0.16,0.05,0.12,0.04,0.05
HKY+G,22,8793.0384005236,8643.40607156529,-4299.62713957745,n/a,0.378475384143713,1.91575430310295,0.178325859491779,0.252017937219731,0.289686098654709,0.279970104633782,0.04,0.05,0.18,0.03,0.19,0.05,0.03,0.17,0.05,0.12,0.04,0.05
TN93+G+I,24,8797.70693353921,8634.48611887553,-4293.15303693214,0.33912797806365,1.0709317868921,1.84331929281244,0.178325859491779,0.252017937219731,0.289686098654709,0.279970104633782,0.04,0.05,0.2,0.03,0.17,0.05,0.03,0.15,0.05,0.13,0.04,0.05
TN93+G,23,8800.02339255115,8643.59651859099,-4298.71545101467,n/a,0.380673525096702,1.89543882225214,0.178325859491779,0.252017937219731,0.289686098654709,0.279970104633782,0.04,0.05,0.21,0.03,0.17,0.05,0.03,0.15,0.05,0.13,0.04,0.05
GTR+G+I,27,8801.72194627372,8618.12293801063,-4281.94798956971,0.329200149497645,1.08298697251708,1.83663370183798,0.178325859491779,0.252017937219731,0.289686098654709,0.279970104633782,0.02,0.07,0.2,0.02,0.17,0.03,0.04,0.15,0.07,0.13,0.03,0.07
GTR+G,26,8803.15893757294,8626.3520554855,-4287.07066979588,n/a,0.399087324117628,1.87312023148689,0.178325859491779,0.252017937219731,0.289686098654709,0.279970104633782,0.02,0.07,0.21,0.02,0.17,0.03,0.04,0.15,0.07,0.13,0.03,0.07
T92+I,20,8814.63840847649,8678.59698132948,-4319.23551270702,0.454707113763196,n/a,1.58112859840824,0.215171898355755,0.215171898355755,0.284828101644245,0.284828101644245,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.13,0.04,0.05
K2+G+I,20,8827.67214031558,8691.63071316856,-4325.75237862657,0.344929339429713,1.2597085302187,1.65543703040874,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G,19,8830.11470753691,8700.86963665607,-4331.37784681379,n/a,0.415241961988539,1.69855916941015,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
HKY+I,22,8830.53667844836,8680.90434949005,-4318.37627853983,0.454276041642249,n/a,1.59645768995878,0.178325859491779,0.252017937219731,0.289686098654709,0.279970104633782,0.05,0.06,0.17,0.03,0.18,0.05,0.03,0.16,0.05,0.11,0.05,0.06
TN93+I,23,8838.92029798129,8682.49342402114,-4318.16390372974,0.454028045904868,n/a,1.58993205467794,0.178325859491779,0.252017937219731,0.289686098654709,0.279970104633782,0.05,0.06,0.18,0.03,0.17,0.05,0.03,0.15,0.05,0.11,0.05,0.06
GTR+I,26,8841.88789304035,8665.08101095292,-4306.43514752959,0.45011647561696,n/a,1.6256572533605,0.178325859491779,0.252017937219731,0.289686098654709,0.279970104633782,0.03,0.07,0.18,0.02,0.17,0.03,0.04,0.15,0.07,0.12,0.03,0.08
K2+I,19,8861.2160319158,8731.97096103497,-4346.92850900324,0.450661373458346,n/a,1.47716663013692,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,8999.08898435099,8869.84391347015,-4415.86498522083,0.366545528142047,1.72555936828647,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,9004.21493214453,8881.76682074165,-4422.83214369417,n/a,0.457630082836031,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,9021.447220526,8898.99910912312,-4431.4482878849,0.448309574592098,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,9270.43259414149,9100.41844334464,-4525.11168265671,n/a,n/a,1.16512925992622,0.178325859491779,0.252017937219731,0.289686098654709,0.279970104633782,0.05,0.07,0.16,0.03,0.15,0.03,0.04,0.13,0.09,0.1,0.03,0.1
T92,19,9271.60101063753,9142.35593975669,-4552.1209983641,n/a,n/a,1.29731971446419,0.215171898355755,0.215171898355755,0.284828101644245,0.284828101644245,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
