Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G,26,9175.06948548056,8997.49057527499,-4472.64300000818,n/a,0.573793497538132,1.48183938031355,0.258345428156749,0.211465892597968,0.262409288824383,0.2677793904209,0.02,0.05,0.1,0.02,0.23,0.04,0.05,0.18,0.09,0.1,0.03,0.09
GTR+G+I,27,9178.96608473376,8994.56511682861,-4470.17238645278,0.241064750592048,1.26038217836406,1.48052957628551,0.258345428156749,0.211465892597968,0.262409288824383,0.2677793904209,0.02,0.05,0.1,0.02,0.23,0.04,0.05,0.18,0.09,0.1,0.03,0.09
TN93+G,23,9186.51475867261,9029.40554461036,-4491.62237615022,n/a,0.546649676825017,1.50874066283549,0.258345428156749,0.211465892597968,0.262409288824383,0.2677793904209,0.04,0.05,0.1,0.05,0.23,0.05,0.05,0.18,0.05,0.1,0.04,0.05
T92+G,20,9187.53547932778,9050.90124059035,-4505.38947602381,n/a,0.534005731668335,1.44358232241866,0.234905660377358,0.234905660377358,0.265094339622642,0.265094339622642,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
TN93+G+I,24,9188.31789076094,9024.38485773342,-4488.10502901238,0.269679876139827,1.39887779016867,1.48928380662793,0.258345428156749,0.211465892597968,0.262409288824383,0.2677793904209,0.04,0.05,0.1,0.05,0.23,0.05,0.05,0.18,0.05,0.1,0.04,0.05
T92+G+I,21,9193.12999454732,9049.67017788627,-4503.76782045158,0.223908469391479,1.04840840372987,1.42908755076047,0.234905660377358,0.234905660377358,0.265094339622642,0.265094339622642,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G,19,9197.80879500229,9068.00071999589,-4514.94504704307,n/a,0.548357342223582,1.41327216418455,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G+I,20,9203.50807983382,9066.8738410964,-4513.37577627683,0.221950421269686,1.07524955803606,1.39959532171317,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+G,22,9210.4346874139,9060.14987889255,-4508.00125370286,n/a,0.533421775080457,1.47150408424444,0.258345428156749,0.211465892597968,0.262409288824383,0.2677793904209,0.04,0.05,0.16,0.05,0.16,0.05,0.05,0.13,0.05,0.15,0.04,0.05
TN93+I,23,9213.97662924723,9056.86741518499,-4505.35331143753,0.38230427647346,n/a,1.34531255543822,0.258345428156749,0.211465892597968,0.262409288824383,0.2677793904209,0.04,0.06,0.1,0.05,0.21,0.06,0.05,0.17,0.06,0.1,0.04,0.06
HKY+G+I,23,9215.65653642941,9058.54732236716,-4506.19326502862,0.234119323569777,1.09742813216011,1.45372075923297,0.258345428156749,0.211465892597968,0.262409288824383,0.2677793904209,0.04,0.05,0.16,0.05,0.16,0.05,0.05,0.13,0.05,0.15,0.04,0.05
GTR+I,26,9226.55224902526,9048.9733388197,-4498.38438178053,0.380883268961095,n/a,1.17214547816964,0.258345428156749,0.211465892597968,0.262409288824383,0.2677793904209,0.05,0.05,0.1,0.06,0.19,0.05,0.05,0.15,0.09,0.1,0.04,0.08
