Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,3409.89873780638,3294.7905158301,-1628.2757610597,n/a,0.282622618840623,1.65635489887308,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G+I,20,3417.09012166575,3295.93623392586,-1627.835999945,0.231876220080992,0.440202325860936,1.67679943531877,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92+G,20,3419.39096812568,3298.23708038578,-1628.98642317496,n/a,0.289420167527003,1.63212448729165,0.27828125,0.27828125,0.22171875,0.22171875,0.05,0.04,0.14,0.05,0.14,0.04,0.05,0.17,0.04,0.17,0.05,0.04
T92+G+I,21,3426.25698190071,3299.05870293484,-1628.38397701808,0.255756071802651,0.478971338602647,1.65338658899349,0.27828125,0.27828125,0.22171875,0.22171875,0.05,0.04,0.14,0.05,0.14,0.04,0.05,0.17,0.04,0.17,0.05,0.04
HKY+G,22,3436.1325250042,3302.89113055355,-1629.28629552544,n/a,0.288823807288722,1.63191055460496,0.2978125,0.25875,0.20375,0.2396875,0.05,0.04,0.15,0.06,0.13,0.05,0.06,0.16,0.05,0.18,0.05,0.04
K2+I,19,3439.30905797462,3324.20083599834,-1642.98092114382,0.55942019312543,n/a,1.42646632746264,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93+G,23,3440.32467699445,3301.04144400522,-1627.34691847616,n/a,0.286953658599322,1.66117285039594,0.2978125,0.25875,0.20375,0.2396875,0.05,0.04,0.11,0.06,0.16,0.04,0.06,0.21,0.04,0.14,0.05,0.04
HKY+G+I,23,3443.00663775236,3303.72340476313,-1628.68789885512,0.254250096097538,0.475828863510465,1.65168674651519,0.2978125,0.25875,0.20375,0.2396875,0.05,0.04,0.15,0.06,0.13,0.05,0.06,0.16,0.05,0.19,0.05,0.04
TN93+G+I,24,3446.77081766313,3301.44702428813,-1626.53453576611,0.290656293023083,0.523539001307456,1.68550280840653,0.2978125,0.25875,0.20375,0.2396875,0.05,0.04,0.11,0.05,0.17,0.04,0.05,0.21,0.04,0.14,0.05,0.04
T92+I,20,3447.24818490886,3326.09429716897,-1642.91503156655,0.557653105808943,n/a,1.42220657671404,0.27828125,0.27828125,0.22171875,0.22171875,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.16,0.05,0.16,0.06,0.05
