Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,16642.4423425044,16443.7697812014,-8194.81984155577,0.278350620896391,0.878059337048963,1.67948546698359,0.155450643776824,0.28274678111588,0.268326180257511,0.293476394849785,0.05,0.06,0.17,0.03,0.18,0.02,0.04,0.19,0.08,0.09,0.02,0.08
GTR+G,26,16652.2870147771,16460.9682118188,-8204.42370842165,n/a,0.38280673480393,1.68775828870069,0.155450643776824,0.28274678111588,0.268326180257511,0.293476394849785,0.05,0.06,0.16,0.03,0.18,0.02,0.04,0.19,0.08,0.09,0.02,0.07
HKY+G+I,23,16661.3081899025,16492.052735919,-8222.9788881728,0.284478608810134,0.834765375885539,1.84439113582687,0.155450643776824,0.28274678111588,0.268326180257511,0.293476394849785,0.05,0.05,0.19,0.03,0.18,0.05,0.03,0.18,0.05,0.1,0.05,0.05
HKY+G,22,16665.1074298895,16503.2071165807,-8229.56003889582,n/a,0.357251920220259,1.92899035720275,0.155450643776824,0.28274678111588,0.268326180257511,0.293476394849785,0.05,0.05,0.19,0.03,0.18,0.05,0.03,0.19,0.05,0.1,0.05,0.05
TN93+G+I,24,16670.3811443093,16493.7708950999,-8222.83383464671,0.283746536525972,0.82825552634283,1.85616298013555,0.155450643776824,0.28274678111588,0.268326180257511,0.293476394849785,0.05,0.05,0.18,0.03,0.18,0.05,0.03,0.19,0.05,0.1,0.05,0.05
TN93+G,23,16673.9138222647,16504.6583682812,-8229.28170435391,n/a,0.355378335075404,1.94784775232015,0.155450643776824,0.28274678111588,0.268326180257511,0.293476394849785,0.05,0.05,0.18,0.03,0.19,0.05,0.03,0.2,0.05,0.1,0.05,0.05
T92+G+I,21,16727.7498247689,16573.2049974943,-8265.562767065,0.299916851487708,0.918273551359749,1.7753219593608,0.219098712446352,0.219098712446352,0.280901287553648,0.280901287553648,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+G,20,16734.8714923488,16587.682496379,-8273.80513158444,n/a,0.360168118305091,1.86464622504211,0.219098712446352,0.219098712446352,0.280901287553648,0.280901287553648,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+I,26,16794.6961595034,16603.377356545,-8275.62828078477,0.407109132685367,n/a,1.32589431428172,0.155450643776824,0.28274678111588,0.268326180257511,0.293476394849785,0.06,0.06,0.16,0.03,0.16,0.04,0.03,0.17,0.09,0.08,0.03,0.08
HKY+I,22,16803.6007508017,16641.7004374929,-8298.80669935193,0.410594410572144,n/a,1.4295013191219,0.155450643776824,0.28274678111588,0.268326180257511,0.293476394849785,0.06,0.05,0.17,0.03,0.16,0.06,0.03,0.17,0.06,0.09,0.06,0.05
