Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,14097.2901647129,13900.3486571699,-6923.10498351066,0.383584004612021,1.73219654530534,1.77199787169679,0.210155535224154,0.19551692589204,0.283989021043001,0.310338517840805,0.02,0.05,0.14,0.02,0.26,0.03,0.04,0.18,0.09,0.09,0.02,0.08
TN93+G+I,24,14110.2069260158,13935.1345693332,-6943.51226403387,0.386609023516014,1.67966391948152,1.8063895360743,0.210155535224154,0.19551692589204,0.283989021043001,0.310338517840805,0.03,0.05,0.13,0.04,0.26,0.05,0.04,0.18,0.05,0.09,0.03,0.05
T92+G+I,21,14112.0735076637,13958.8736179299,-6958.39445472954,0.372652271303781,1.45796685851705,1.72108261789401,0.202836230558097,0.202836230558097,0.297163769441903,0.297163769441903,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
T92+G,20,14121.5143675261,13975.6060365443,-6967.76451795133,n/a,0.386195666947506,1.79080341968373,0.202836230558097,0.202836230558097,0.297163769441903,0.297163769441903,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
TN93+G,23,14127.4478322123,13959.6659295268,-6956.78235042269,n/a,0.386324683100843,1.86957708149795,0.210155535224154,0.19551692589204,0.283989021043001,0.310338517840805,0.03,0.05,0.14,0.04,0.26,0.05,0.04,0.18,0.05,0.09,0.03,0.05
GTR+I,26,14136.4845024735,13946.8323432607,-6947.35178568152,0.449031461649051,n/a,1.60125353754396,0.210155535224154,0.19551692589204,0.283989021043001,0.310338517840805,0.02,0.05,0.14,0.02,0.24,0.04,0.04,0.17,0.09,0.09,0.03,0.08
HKY+G+I,23,14140.3727668966,13972.5908642112,-6963.24481776486,0.370293042226473,1.42376854070566,1.72940807762979,0.210155535224154,0.19551692589204,0.283989021043001,0.310338517840805,0.04,0.05,0.2,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.05
HKY+G,22,14149.2766094981,13988.7855291627,-6972.34637235618,n/a,0.385395805362952,1.80117896072928,0.210155535224154,0.19551692589204,0.283989021043001,0.310338517840805,0.03,0.05,0.2,0.04,0.18,0.05,0.04,0.13,0.05,0.14,0.03,0.05
GTR+G,26,14150.6236454109,13960.9714861981,-6954.42135715024,n/a,0.426325384263811,1.40045306137758,0.210155535224154,0.19551692589204,0.283989021043001,0.310338517840805,0.03,0.05,0.16,0.04,0.2,0.05,0.04,0.14,0.08,0.11,0.03,0.08
T92+I,20,14161.0285219239,14015.1201909422,-6987.52159515025,0.45161024997791,n/a,1.51442233627494,0.202836230558097,0.202836230558097,0.297163769441903,0.297163769441903,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
TN93+I,23,14167.976884716,14000.1949820305,-6977.04687667452,0.449313479164013,n/a,1.26891446354018,0.210155535224154,0.19551692589204,0.283989021043001,0.310338517840805,0.04,0.06,0.14,0.05,0.2,0.07,0.05,0.14,0.07,0.1,0.04,0.06
HKY+I,22,14190.7696547575,14030.2785744221,-6993.09289498585,0.451508475308213,n/a,1.51124016965006,0.210155535224154,0.19551692589204,0.283989021043001,0.310338517840805,0.04,0.06,0.19,0.04,0.17,0.06,0.04,0.12,0.06,0.13,0.04,0.06
K2+G+I,20,14261.1185420523,14115.2102110705,-7037.56660521443,0.384212963911578,1.9402590204465,1.52463175863195,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G,19,14274.5946756619,14135.9782714812,-7048.95430530981,n/a,0.429371410569332,1.57703597325633,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,14291.6717895202,14153.0553853396,-7057.49286223899,0.448864776322289,n/a,1.41330377002037,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,14512.4065942049,14373.7901900242,-7167.86026458133,0.390966183539155,2.42895947978489,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,14529.6021582,14398.2780487683,-7181.10767986946,n/a,0.463523932812452,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,14533.2811351025,14401.9570256708,-7182.94716832071,0.446198918671693,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,14882.3412524252,14699.9788101996,-7324.92979394795,n/a,n/a,1.09495073189389,0.210155535224154,0.19551692589204,0.283989021043001,0.310338517840805,0.04,0.06,0.14,0.04,0.18,0.04,0.04,0.12,0.11,0.1,0.03,0.1
T92,19,14903.8374884171,14765.2210842365,-7363.57571168745,n/a,n/a,1.23639263098608,0.202836230558097,0.202836230558097,0.297163769441903,0.297163769441903,0.04,0.07,0.17,0.04,0.17,0.07,0.04,0.11,0.07,0.11,0.04,0.07
TN93,22,14912.2906226475,14751.7995423121,-7353.8533789309,n/a,n/a,1.24007760209338,0.210155535224154,0.19551692589204,0.283989021043001,0.310338517840805,0.04,0.06,0.14,0.05,0.2,0.07,0.05,0.13,0.07,0.09,0.04,0.06
HKY,21,14932.0300317552,14778.8301420215,-7368.3727167753,n/a,n/a,1.23454011920806,0.210155535224154,0.19551692589204,0.283989021043001,0.310338517840805,0.04,0.06,0.17,0.05,0.16,0.07,0.05,0.11,0.07,0.12,0.04,0.06
K2,18,14975.8659127021,14844.5418032705,-7404.23955712052,n/a,n/a,1.22353000459893,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC,17,15190.8502605802,15066.8188137443,-7516.38136435015,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
