Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,20238.360274428,20080.3382333042,-10019.1354382733,0.278959984988447,1.67338233847303,1.46820293877115,0.202001455604076,0.202001455604076,0.297998544395924,0.297998544395924,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
GTR+G+I,27,20248.5830811304,20045.4355522325,-9995.66264192723,0.269330393081743,1.6023257322505,1.49367131464534,0.199053857350801,0.204949053857351,0.29665211062591,0.299344978165939,0.02,0.07,0.15,0.02,0.22,0.05,0.05,0.15,0.07,0.1,0.03,0.07
TN93+G+I,24,20252.0200802115,20071.4339780758,-10011.6732413164,0.278603688989107,1.65861739046312,1.50134445210831,0.199053857350801,0.204949053857351,0.29665211062591,0.299344978165939,0.04,0.06,0.15,0.04,0.22,0.06,0.04,0.15,0.06,0.1,0.04,0.06
T92+G,20,20256.616887683,20106.11678532,-10033.0277781837,n/a,0.538986560522374,1.53255127418817,0.202001455604076,0.202001455604076,0.297998544395924,0.297998544395924,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY+G+I,23,20258.8253595435,20085.7603184694,-10019.8399142653,0.278346787004674,1.67012007201758,1.46528012176512,0.199053857350801,0.204949053857351,0.29665211062591,0.299344978165939,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
TN93+G,23,20271.0775257613,20098.0124846872,-10025.9659973742,n/a,0.535311243567667,1.56769056821079,0.199053857350801,0.204949053857351,0.29665211062591,0.299344978165939,0.04,0.06,0.15,0.04,0.22,0.06,0.04,0.15,0.06,0.1,0.04,0.06
HKY+G,22,20276.883985682,20111.3402982999,-10033.6332606175,n/a,0.540140571868978,1.52923731232673,0.199053857350801,0.204949053857351,0.29665211062591,0.299344978165939,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.12,0.04,0.06
GTR+G,26,20288.4059009328,20092.7785548211,-10020.3380851113,n/a,0.567005680136693,1.37408055775241,0.199053857350801,0.204949053857351,0.29665211062591,0.299344978165939,0.04,0.07,0.16,0.04,0.19,0.04,0.05,0.13,0.07,0.11,0.03,0.07
T92+I,20,20306.4543066186,20155.9542042556,-10057.9464876515,0.352341414776444,n/a,1.30997264139158,0.202001455604076,0.202001455604076,0.297998544395924,0.297998544395924,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
TN93+I,23,20321.5392994996,20148.4742584255,-10051.1968842434,0.351615781494627,n/a,1.32410063997903,0.199053857350801,0.204949053857351,0.29665211062591,0.299344978165939,0.04,0.06,0.15,0.04,0.2,0.06,0.04,0.14,0.06,0.1,0.04,0.06
HKY+I,22,20327.072243395,20161.5285560129,-10058.7273894739,0.352165349487364,n/a,1.30747459773428,0.199053857350801,0.204949053857351,0.29665211062591,0.299344978165939,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.11,0.04,0.06
GTR+I,26,20344.3292468164,20148.7019007047,-10048.2997580531,0.350583826666158,n/a,1.20026302554607,0.199053857350801,0.204949053857351,0.29665211062591,0.299344978165939,0.05,0.07,0.15,0.04,0.18,0.05,0.04,0.12,0.08,0.1,0.04,0.08
K2+G+I,20,20441.9610035381,20291.4609011752,-10125.6998361113,0.275829453839684,1.89913909939398,1.3234378033159,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G,19,20459.5943028738,20316.61643171,-10139.280519062,n/a,0.599012182867881,1.37044603604863,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+I,19,20496.9759985673,20353.9981274036,-10157.9713669088,0.34884082060326,n/a,1.22048495148805,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC+G+I,19,20719.3499128066,20576.3720416429,-10269.1583240284,0.284815897656644,2.38452011816358,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,20742.9094762478,20607.4541286578,-10285.7021390319,n/a,0.65383451029467,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,20758.7952907343,20623.3399431443,-10293.6450462751,0.34642397646251,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,21092.8200767943,20904.7132062914,-10427.3092063249,n/a,n/a,0.983308847098009,0.199053857350801,0.204949053857351,0.29665211062591,0.299344978165939,0.04,0.08,0.15,0.04,0.16,0.05,0.05,0.11,0.09,0.1,0.03,0.09
T92,19,21098.9028247446,20955.9249535808,-10458.9347799974,n/a,n/a,1.10221391074674,0.202001455604076,0.202001455604076,0.297998544395924,0.297998544395924,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.11,0.07,0.11,0.05,0.07
HKY,21,21117.0016513674,20958.9796102437,-10458.4561267431,n/a,n/a,1.10212771304718,0.199053857350801,0.204949053857351,0.29665211062591,0.299344978165939,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.11,0.07,0.11,0.05,0.07
TN93,22,21117.400452391,20951.8567650089,-10453.891493972,n/a,n/a,1.10338393626674,0.199053857350801,0.204949053857351,0.29665211062591,0.299344978165939,0.05,0.07,0.14,0.05,0.17,0.07,0.05,0.12,0.07,0.1,0.05,0.07
K2,18,21208.3382430059,21072.8828954159,-10518.416522411,n/a,n/a,1.08674608477771,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC,17,21442.1927806612,21314.2602489556,-10640.1078245215,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
