Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,17372.9816976882,17175.1848376227,-8560.52523075588,0.209002715050465,1.26737382242727,1.33000222698186,0.234042553191489,0.174379432624113,0.294414893617021,0.297163120567376,0.02,0.06,0.13,0.02,0.23,0.05,0.05,0.14,0.09,0.1,0.03,0.08
GTR+G,26,17373.9938038312,17183.5181209087,-8565.69667708993,n/a,0.596797809737522,1.34915873093905,0.234042553191489,0.174379432624113,0.294414893617021,0.297163120567376,0.02,0.06,0.13,0.02,0.23,0.05,0.05,0.14,0.09,0.1,0.03,0.08
TN93+G+I,24,17376.7794743771,17200.9472170561,-8576.42029888792,0.213766816623376,1.26823722417222,1.35238645977599,0.234042553191489,0.174379432624113,0.294414893617021,0.297163120567376,0.04,0.06,0.12,0.05,0.23,0.06,0.05,0.14,0.06,0.1,0.04,0.06
TN93+G,23,17379.4767734086,17210.9667643558,-8582.43434166619,n/a,0.580470232293501,1.3824469111536,0.234042553191489,0.174379432624113,0.294414893617021,0.297163120567376,0.04,0.06,0.13,0.05,0.23,0.06,0.05,0.14,0.06,0.1,0.04,0.06
T92+G,20,17390.9928696848,17244.4517461648,-8602.18856959187,n/a,0.578688222217628,1.32968279932776,0.204210992907801,0.204210992907801,0.295789007092199,0.295789007092199,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+G+I,21,17392.6784762794,17238.8140342222,-8598.36597962664,0.188181890843567,1.09237408188905,1.3019443838518,0.204210992907801,0.204210992907801,0.295789007092199,0.295789007092199,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY+G,22,17401.2081292066,17240.0207252734,-8597.96541282772,n/a,0.575130207915262,1.35852894593076,0.234042553191489,0.174379432624113,0.294414893617021,0.297163120567376,0.04,0.06,0.17,0.05,0.17,0.06,0.05,0.1,0.06,0.14,0.04,0.06
HKY+G+I,23,17401.7504433043,17233.2404342515,-8593.57117661403,0.197822685268,1.13871457074439,1.32721326196003,0.234042553191489,0.174379432624113,0.294414893617021,0.297163120567376,0.04,0.06,0.17,0.05,0.17,0.06,0.05,0.1,0.06,0.14,0.04,0.06
TN93+I,23,17471.0113313104,17302.5013222576,-8628.20162061709,0.321663557198912,n/a,1.18895692615041,0.234042553191489,0.174379432624113,0.294414893617021,0.297163120567376,0.04,0.07,0.12,0.05,0.21,0.07,0.05,0.13,0.07,0.1,0.04,0.07
GTR+I,26,17488.4722537642,17297.9965708417,-8622.93590205642,0.322215421296985,n/a,1.05856983773129,0.234042553191489,0.174379432624113,0.294414893617021,0.297163120567376,0.04,0.06,0.13,0.05,0.19,0.06,0.05,0.11,0.09,0.1,0.03,0.09
T92+I,20,17498.0092632775,17351.4681397575,-8655.69676638822,0.323090845318677,n/a,1.14812552583997,0.204210992907801,0.204210992907801,0.295789007092199,0.295789007092199,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.11,0.07,0.11,0.05,0.07
HKY+I,22,17502.8463271734,17341.6589232402,-8648.78451181111,0.324038228963875,n/a,1.16588788065755,0.234042553191489,0.174379432624113,0.294414893617021,0.297163120567376,0.04,0.07,0.16,0.05,0.16,0.07,0.05,0.1,0.07,0.13,0.04,0.07
K2+G+I,20,17553.8149186353,17407.2737951153,-8683.59959406713,0.202111519115167,1.31140542540304,1.19486911532765,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
K2+G,19,17554.2920288029,17415.0745803864,-8688.50354241344,n/a,0.63302295131543,1.21872554053226,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
K2+I,19,17636.242122796,17497.0246743795,-8729.47858941001,0.32093515116963,n/a,1.09386419057418,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC+G+I,19,17734.5037302924,17595.2862818759,-8778.60939315822,0.213627016242214,1.5037404467208,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,17737.3770632757,17605.4836464339,-8784.71145291238,n/a,0.66743833922642,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,17805.3185565435,17673.4251397017,-8818.68219954628,0.319648599502824,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,18041.5967963446,17858.442647702,-8904.16356660913,n/a,n/a,1.02272236439379,0.234042553191489,0.174379432624113,0.294414893617021,0.297163120567376,0.02,0.08,0.12,0.03,0.19,0.06,0.06,0.11,0.1,0.1,0.03,0.1
TN93,22,18081.7522102025,17920.5648062694,-8938.23745332569,n/a,n/a,1.02124143175522,0.234042553191489,0.174379432624113,0.294414893617021,0.297163120567376,0.04,0.07,0.12,0.06,0.19,0.07,0.06,0.11,0.07,0.1,0.04,0.07
T92,19,18092.1015652487,17952.8841168322,-8957.40831063635,n/a,n/a,1.01491139559433,0.204210992907801,0.204210992907801,0.295789007092199,0.295789007092199,0.05,0.07,0.15,0.05,0.15,0.07,0.05,0.1,0.07,0.1,0.05,0.07
HKY,21,18108.7130996816,17954.8486576244,-8956.38329132774,n/a,n/a,1.01507444526238,0.234042553191489,0.174379432624113,0.294414893617021,0.297163120567376,0.04,0.07,0.15,0.06,0.15,0.07,0.06,0.09,0.07,0.12,0.04,0.07
K2,18,18184.3945296882,18052.5011128464,-9008.22018611862,n/a,n/a,1.00084168054643,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC,17,18340.1323587101,18215.5633298194,-9090.7544938921,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
