Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,19118.9061029217,18961.302186366,-9459.61673863212,0.299252132275457,1.31201729821313,1.50292869406219,0.201299183370453,0.201299183370453,0.298700816629547,0.298700816629547,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+G,20,19133.2692344419,18983.1672872291,-9471.55241452688,n/a,0.454787277132755,1.57853003950406,0.201299183370453,0.201299183370453,0.298700816629547,0.298700816629547,0.04,0.06,0.19,0.04,0.19,0.06,0.04,0.13,0.06,0.13,0.04,0.06
HKY+G+I,23,19146.1387383165,18973.5317783228,-9463.7248360601,0.297608357643858,1.30216734379132,1.50018479320256,0.203786191536748,0.198812175204157,0.285152190051967,0.312249443207127,0.04,0.06,0.19,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
TN93+G+I,24,19149.7029664329,18969.5949324774,-9460.7528399836,0.299185836532261,1.31188151760447,1.51100519828853,0.203786191536748,0.198812175204157,0.285152190051967,0.312249443207127,0.04,0.06,0.17,0.04,0.2,0.06,0.04,0.14,0.06,0.11,0.04,0.06
GTR+G+I,27,19156.0838446122,18953.4743805997,-9449.68094866913,0.281850811316381,1.19682765890033,1.5068640016398,0.203786191536748,0.198812175204157,0.285152190051967,0.312249443207127,0.03,0.08,0.17,0.03,0.2,0.04,0.05,0.14,0.07,0.11,0.03,0.06
HKY+G,22,19160.0638483539,18994.958260849,-9475.44150121351,n/a,0.456165284999131,1.57473869804686,0.203786191536748,0.198812175204157,0.285152190051967,0.312249443207127,0.04,0.05,0.19,0.04,0.18,0.06,0.04,0.12,0.06,0.13,0.04,0.05
TN93+G,23,19164.212231528,18991.6052715343,-9472.76158266584,n/a,0.45362261388676,1.58868998747019,0.203786191536748,0.198812175204157,0.285152190051967,0.312249443207127,0.04,0.05,0.17,0.04,0.2,0.06,0.04,0.14,0.06,0.11,0.04,0.05
GTR+G,26,19166.1771027391,18971.0678167075,-9459.48168786728,n/a,0.461679722157199,1.56380661792481,0.203786191536748,0.198812175204157,0.285152190051967,0.312249443207127,0.03,0.08,0.17,0.03,0.2,0.04,0.06,0.14,0.07,0.11,0.02,0.06
T92+I,20,19207.0523880638,19056.9504408511,-9508.44399133788,0.392430496651534,n/a,1.29649502952063,0.201299183370453,0.201299183370453,0.298700816629547,0.298700816629547,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY+I,22,19235.108803539,19070.0032160341,-9512.96397880606,0.392115429461723,n/a,1.29253283583263,0.203786191536748,0.198812175204157,0.285152190051967,0.312249443207127,0.04,0.06,0.18,0.04,0.16,0.07,0.04,0.11,0.07,0.12,0.04,0.06
