Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,8851.71363676211,8664.04224816386,-4304.92347489567,0.490414480325605,1.57809863540527,1.97218687186937,0.226898326898327,0.213384813384813,0.255469755469755,0.304247104247104,0.02,0.05,0.11,0.02,0.26,0.01,0.04,0.22,0.09,0.08,0.01,0.08
TN93+G+I,24,8865.94445189797,8699.1067799274,-4325.47592062864,0.503578358140458,1.68123108068726,2.0051465108404,0.226898326898327,0.213384813384813,0.255469755469755,0.304247104247104,0.03,0.04,0.11,0.04,0.26,0.05,0.04,0.22,0.05,0.08,0.03,0.04
T92+G+I,21,8866.78801284662,8720.78873511837,-4339.33473926801,0.534175074922046,2.41075021009901,1.86643698833103,0.22014157014157,0.22014157014157,0.27985842985843,0.27985842985843,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+I,26,8874.90636013889,8694.17902367929,-4320.99884930574,0.559855527451357,n/a,1.76123431036114,0.226898326898327,0.213384813384813,0.255469755469755,0.304247104247104,0.02,0.05,0.13,0.02,0.23,0.02,0.04,0.19,0.09,0.1,0.02,0.08
GTR+G,26,8875.45857702322,8694.73124056362,-4321.27495774791,n/a,0.295261135161239,1.71665271028057,0.226898326898327,0.213384813384813,0.255469755469755,0.304247104247104,0.04,0.04,0.12,0.04,0.23,0.01,0.04,0.2,0.09,0.09,0.01,0.08
T92+I,20,8878.39104951898,8739.33894173575,-4349.61527032587,0.570605320819498,n/a,1.71434917628023,0.22014157014157,0.22014157014157,0.27985842985843,0.27985842985843,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G,23,8881.57243323318,8721.68037321015,-4337.76892401793,n/a,0.277605919810747,2.11929797099956,0.226898326898327,0.213384813384813,0.255469755469755,0.304247104247104,0.03,0.04,0.1,0.04,0.27,0.05,0.04,0.23,0.05,0.08,0.03,0.04
T92+G,20,8882.94590621135,8743.89379842813,-4351.89269867206,n/a,0.268885834502766,1.90710470242533,0.22014157014157,0.22014157014157,0.27985842985843,0.27985842985843,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
TN93+I,23,8886.13134304303,8726.23928302,-4340.04837892286,0.56313255798711,n/a,1.70396449678036,0.226898326898327,0.213384813384813,0.255469755469755,0.304247104247104,0.04,0.05,0.13,0.04,0.23,0.06,0.04,0.19,0.06,0.1,0.04,0.05
HKY+G+I,23,8903.74502506114,8743.85296503811,-4348.85521993191,0.533485999016449,2.40414259506685,1.89319006089371,0.226898326898327,0.213384813384813,0.255469755469755,0.304247104247104,0.04,0.04,0.2,0.04,0.17,0.05,0.04,0.14,0.05,0.15,0.04,0.04
K2+G+I,20,8912.52325825617,8773.47115047295,-4366.68137469447,0.532031003721556,2.53750505590764,1.76803467708885,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
HKY+I,22,8915.35691546134,8762.41098691946,-4359.14017785369,0.570150165912881,n/a,1.73226565449985,0.226898326898327,0.213384813384813,0.255469755469755,0.304247104247104,0.04,0.05,0.19,0.04,0.16,0.06,0.04,0.14,0.06,0.14,0.04,0.05
HKY+G,22,8920.01934548124,8767.07341693936,-4361.47139286364,n/a,0.26981121761054,1.93739767103785,0.226898326898327,0.213384813384813,0.255469755469755,0.304247104247104,0.04,0.04,0.2,0.04,0.17,0.05,0.04,0.14,0.05,0.15,0.04,0.04
