Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,9406.54233651011,9268.55317807192,-4614.21943840322,n/a,0.350944703753794,1.68819287667009,0.202510176390773,0.202510176390773,0.297489823609227,0.297489823609227,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
T92+G+I,21,9410.78763790474,9265.90475371889,-4611.88950260795,0.292279629976415,0.749827218526641,1.65430676627671,0.202510176390773,0.202510176390773,0.297489823609227,0.297489823609227,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.04,0.05
GTR+G,26,9423.8541252568,9244.51083014782,-4596.15981382102,n/a,0.354579578436765,1.73349414119072,0.19932157394844,0.205698778833107,0.264857530529172,0.330122116689281,0.03,0.07,0.15,0.03,0.23,0.01,0.05,0.18,0.08,0.09,0.01,0.06
TN93+G,23,9429.54728158112,9270.87858879177,-4612.36415146095,n/a,0.3586369813019,1.71219680903645,0.19932157394844,0.205698778833107,0.264857530529172,0.330122116689281,0.04,0.05,0.15,0.04,0.23,0.06,0.04,0.18,0.06,0.09,0.04,0.05
GTR+G+I,27,9430.90817546014,9244.67444329658,-4595.2342524301,0.198992046938842,0.554172391442122,1.72310982261149,0.19932157394844,0.205698778833107,0.264857530529172,0.330122116689281,0.03,0.07,0.15,0.03,0.23,0.01,0.05,0.18,0.08,0.09,0.01,0.06
TN93+G+I,24,9434.02377864706,9268.46300344922,-4610.14981350133,0.28621171511671,0.758342183013321,1.67663371789734,0.19932157394844,0.205698778833107,0.264857530529172,0.330122116689281,0.04,0.05,0.15,0.04,0.23,0.06,0.04,0.18,0.06,0.09,0.04,0.05
HKY+G,22,9439.1418091584,9287.36574678095,-4621.61400174218,n/a,0.35455740469651,1.69084109503582,0.19932157394844,0.205698778833107,0.264857530529172,0.330122116689281,0.04,0.05,0.21,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.05
HKY+G+I,23,9444.26654107223,9285.59784828287,-4619.72378120651,0.275894508472555,0.712487722983404,1.66012327015235,0.19932157394844,0.205698778833107,0.264857530529172,0.330122116689281,0.04,0.05,0.21,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.05
T92+I,20,9472.25872543734,9334.26956699916,-4647.07763286684,0.473272717492218,n/a,1.38410154356466,0.202510176390773,0.202510176390773,0.297489823609227,0.297489823609227,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
K2+G,19,9486.50139904533,9355.40651368739,-4658.65155616342,n/a,0.384810813493816,1.49131457676657,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G+I,20,9488.9665955949,9350.97743715671,-4655.43156794562,0.33066680396423,1.00310545982757,1.46676016279063,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
TN93+I,23,9495.90481646163,9337.23612367228,-4645.54291890121,0.467735485821647,n/a,1.38192586001729,0.19932157394844,0.205698778833107,0.264857530529172,0.330122116689281,0.04,0.05,0.15,0.04,0.2,0.07,0.04,0.16,0.07,0.09,0.04,0.05
HKY+I,22,9508.61556805613,9356.83950567868,-4656.35088119105,0.471258818180602,n/a,1.37122529498915,0.19932157394844,0.205698778833107,0.264857530529172,0.330122116689281,0.04,0.05,0.19,0.04,0.16,0.07,0.04,0.12,0.07,0.12,0.04,0.05
GTR+I,26,9518.58424624406,9339.24095113508,-4643.52487431465,0.467760724618336,n/a,1.21113551434193,0.19932157394844,0.205698778833107,0.264857530529172,0.330122116689281,0.03,0.07,0.15,0.03,0.18,0.07,0.05,0.14,0.08,0.09,0.04,0.07
K2+I,19,9534.65679076672,9403.56190540878,-4682.72925202412,0.471769227191346,n/a,1.30614660243346,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
JC+G,18,9631.0819276167,9506.88186244822,-4735.3944069417,n/a,0.417010783474521,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,9631.51640452465,9500.42151916671,-4731.15905890308,0.359602105529058,1.33318163943664,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,9665.73870903536,9541.53864386688,-4752.72279765103,0.469625036978203,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,9979.27234341525,9848.17745805731,-4905.03702834839,n/a,n/a,1.16302948189912,0.202510176390773,0.202510176390773,0.297489823609227,0.297489823609227,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.11,0.07,0.11,0.05,0.07
GTR,25,9981.73823722196,9809.28592784292,-4879.55445629619,n/a,n/a,0.970734921873542,0.19932157394844,0.205698778833107,0.264857530529172,0.330122116689281,0.03,0.08,0.14,0.03,0.16,0.07,0.06,0.12,0.1,0.08,0.04,0.08
TN93,22,9986.06592325879,9834.28986088134,-4895.07605879238,n/a,n/a,1.16688483130732,0.19932157394844,0.205698778833107,0.264857530529172,0.330122116689281,0.05,0.06,0.14,0.04,0.18,0.07,0.04,0.14,0.07,0.08,0.05,0.06
