Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,12897.8578648563,12750.6954406752,-6354.29129630244,0.273256805200759,1.55362498153772,1.5137865194967,0.202253349573691,0.202253349573691,0.297746650426309,0.297746650426309,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
T92+G,20,12907.1232966393,12766.9637092175,-6363.43056629518,n/a,0.504511141469922,1.60765639503605,0.202253349573691,0.202253349573691,0.297746650426309,0.297746650426309,0.04,0.06,0.19,0.04,0.19,0.06,0.04,0.13,0.06,0.13,0.04,0.06
HKY+G+I,23,12921.0504451999,12759.8838209462,-6356.8744782718,0.271328917650864,1.54443761076028,1.50083501003915,0.202436053593179,0.202070645554202,0.26747868453106,0.328014616321559,0.04,0.05,0.2,0.04,0.16,0.06,0.04,0.12,0.06,0.12,0.04,0.05
TN93+G+I,24,12929.2350148459,12761.067027639,-6356.4602089936,0.270248689560575,1.52402167305191,1.50281047825682,0.202436053593179,0.202070645554202,0.26747868453106,0.328014616321559,0.04,0.05,0.19,0.04,0.17,0.06,0.04,0.13,0.06,0.12,0.04,0.05
HKY+G,22,12929.9465688051,12775.7817989535,-6365.82909417566,n/a,0.508052239476134,1.5909332036146,0.202436053593179,0.202070645554202,0.26747868453106,0.328014616321559,0.04,0.05,0.2,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.05
GTR+G+I,27,12935.752386375,12746.5832608023,-6346.19923245446,0.256825052699506,1.38168544194991,1.51348164891531,0.202436053593179,0.202070645554202,0.26747868453106,0.328014616321559,0.02,0.08,0.19,0.02,0.17,0.05,0.06,0.13,0.06,0.12,0.03,0.05
TN93+G,23,12937.8018095917,12776.635185338,-6365.2501604677,n/a,0.506161291561244,1.59375330216407,0.202436053593179,0.202070645554202,0.26747868453106,0.328014616321559,0.04,0.05,0.19,0.04,0.18,0.06,0.04,0.14,0.06,0.12,0.04,0.05
GTR+G,26,12941.2593553055,12759.0901172588,-6353.45927102094,n/a,0.507865269247023,1.58987090085514,0.202436053593179,0.202070645554202,0.26747868453106,0.328014616321559,0.02,0.08,0.19,0.02,0.18,0.05,0.06,0.13,0.06,0.12,0.03,0.05
T92+I,20,12950.5705183267,12810.410930905,-6385.1541771389,0.343266743247273,n/a,1.31766625633217,0.202253349573691,0.202253349573691,0.297746650426309,0.297746650426309,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
HKY+I,22,12974.039516182,12819.8747463304,-6387.8755678641,0.342517120060332,n/a,1.30813790387904,0.202436053593179,0.202070645554202,0.26747868453106,0.328014616321559,0.04,0.06,0.19,0.04,0.15,0.07,0.04,0.12,0.07,0.12,0.04,0.06
TN93+I,23,12982.8714641278,12821.7048398742,-6387.78498773577,0.342486728855985,n/a,1.30805495458785,0.202436053593179,0.202070645554202,0.26747868453106,0.328014616321559,0.04,0.06,0.18,0.04,0.16,0.07,0.04,0.12,0.07,0.11,0.04,0.06
GTR+I,26,12994.4201048544,12812.2508668077,-6380.03964579539,0.341053411757512,n/a,1.31623140693466,0.202436053593179,0.202070645554202,0.26747868453106,0.328014616321559,0.03,0.08,0.19,0.03,0.16,0.06,0.06,0.12,0.07,0.12,0.04,0.06
K2+G+I,20,13003.4760907274,12863.3165033056,-6411.60696333923,0.269517085007055,1.68661351233031,1.37210046122919,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G,19,13012.8635876748,12879.7073279211,-6420.80726591416,n/a,0.553022048585191,1.43979885151822,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+I,19,13049.4921751233,12916.3359153697,-6439.12155963843,0.341366006283718,n/a,1.23211550831912,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC+G+I,19,13183.3012105855,13050.1449508319,-6506.02607736953,0.27868803840254,2.12840183464786,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,13197.5905917751,13071.4381504185,-6517.67732206553,n/a,0.61238921245458,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,13216.785606931,13090.6331655744,-6527.2748296435,0.339199940349632,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,13507.6450440674,13374.4887843137,-6668.19799411044,n/a,n/a,1.09978186099219,0.202253349573691,0.202253349573691,0.297746650426309,0.297746650426309,0.05,0.07,0.16,0.05,0.16,0.07,0.05,0.11,0.07,0.11,0.05,0.07
GTR,25,13520.8837385243,13345.714879993,-6647.77801673157,n/a,n/a,1.09704131020267,0.202436053593179,0.202070645554202,0.26747868453106,0.328014616321559,0.03,0.09,0.17,0.03,0.15,0.06,0.07,0.11,0.09,0.11,0.04,0.07
HKY,21,13524.9131478697,13377.7507236887,-6667.81893780915,n/a,n/a,1.10008972194959,0.202436053593179,0.202070645554202,0.26747868453106,0.328014616321559,0.05,0.06,0.17,0.05,0.14,0.08,0.05,0.11,0.08,0.11,0.05,0.06
TN93,22,13533.8972487782,13379.7324789266,-6667.8044341622,n/a,n/a,1.10003144712223,0.202436053593179,0.202070645554202,0.26747868453106,0.328014616321559,0.05,0.06,0.17,0.05,0.14,0.08,0.05,0.11,0.08,0.11,0.05,0.06
K2,18,13560.3543504967,13434.2019091401,-6699.05920142635,n/a,n/a,1.08209039197567,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC,17,13706.784864127,13587.6367317167,-6776.78101234273,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
