Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G,26,11150.1217341786,10970.0081161672,-5458.91123777421,n/a,0.730009471531807,1.57660649278926,0.253886693017128,0.208168642951252,0.251119894598155,0.286824769433465,0.02,0.06,0.1,0.02,0.24,0.04,0.06,0.2,0.08,0.09,0.03,0.07
TN93+G,23,11150.4184024288,10991.0688203496,-5472.46145220493,n/a,0.702690821752391,1.5889578907742,0.253886693017128,0.208168642951252,0.251119894598155,0.286824769433465,0.04,0.05,0.1,0.05,0.24,0.05,0.05,0.2,0.05,0.09,0.04,0.05
TN93+G+I,24,11156.7970916659,10990.5256320244,-5471.18350338829,0.122822870173636,1.08871859521621,1.59194503169212,0.253886693017128,0.208168642951252,0.251119894598155,0.286824769433465,0.04,0.05,0.1,0.05,0.24,0.05,0.05,0.2,0.05,0.09,0.04,0.05
GTR+G+I,27,11156.9597428219,10969.9258444253,-5457.8629486607,0.112528346967463,1.08455068225587,1.58266248517138,0.253886693017128,0.208168642951252,0.251119894598155,0.286824769433465,0.02,0.06,0.1,0.02,0.24,0.04,0.06,0.2,0.08,0.09,0.03,0.07
T92+G,20,11166.8533013966,11028.2725429821,-5494.08078199442,n/a,0.695455644902207,1.49737217804557,0.23102766798419,0.23102766798419,0.26897233201581,0.26897233201581,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
T92+G+I,21,11175.0860152734,11029.5817840185,-5493.72984549761,0.0794712377694193,0.893106990298328,1.49791948227943,0.23102766798419,0.23102766798419,0.26897233201581,0.26897233201581,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G,19,11185.7359259196,11054.0791716834,-5507.9893876911,n/a,0.722965441999768,1.4666779219794,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G+I,20,11193.8837771993,11055.3030187848,-5507.59601989575,0.0830109399761407,0.945391818926833,1.46686679666832,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+G,22,11205.3536872274,11052.9265146806,-5504.3963880394,n/a,0.697776309981722,1.51157499144199,0.253886693017128,0.208168642951252,0.251119894598155,0.286824769433465,0.04,0.05,0.17,0.05,0.15,0.06,0.05,0.12,0.06,0.15,0.04,0.05
TN93+I,23,11208.2361747509,11048.8865926717,-5501.37033836598,0.253359641344628,n/a,1.41732980137838,0.253886693017128,0.208168642951252,0.251119894598155,0.286824769433465,0.04,0.05,0.1,0.05,0.22,0.06,0.05,0.18,0.06,0.09,0.04,0.05
HKY+G+I,23,11213.236471694,11053.8868896147,-5503.8704868375,0.093735903470864,0.945722703387153,1.51184450036767,0.253886693017128,0.208168642951252,0.251119894598155,0.286824769433465,0.04,0.05,0.17,0.05,0.15,0.06,0.05,0.12,0.06,0.15,0.04,0.05
GTR+I,26,11226.4965071316,11046.3828891203,-5497.09862425074,0.251979104535875,n/a,1.22531184825835,0.253886693017128,0.208168642951252,0.251119894598155,0.286824769433465,0.04,0.06,0.11,0.05,0.19,0.05,0.06,0.16,0.08,0.1,0.03,0.07
T92+I,20,11230.5504830078,11091.9697245933,-5525.92937279999,0.261134798312749,n/a,1.36197792606657,0.23102766798419,0.23102766798419,0.26897233201581,0.26897233201581,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2+I,19,11244.8004559589,11113.1437017227,-5537.52165271077,0.259232691240569,n/a,1.34533514870984,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY+I,22,11265.6421310637,11113.214958517,-5534.54060995757,0.261576246593295,n/a,1.36978416204488,0.253886693017128,0.208168642951252,0.251119894598155,0.286824769433465,0.04,0.05,0.17,0.05,0.14,0.06,0.05,0.12,0.06,0.15,0.04,0.05
JC+G,18,11360.9064443821,11236.1742254516,-5600.04194035756,n/a,0.781344558817739,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,11369.3902536847,11237.7334994484,-5599.81655157363,0.0652210570657497,0.966699901340525,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,11413.6783710819,11288.9461521514,-5626.42790370745,0.25408433328177,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,11416.8520301278,11243.6592251053,-5596.74367918405,n/a,n/a,1.04877250528042,0.253886693017128,0.208168642951252,0.251119894598155,0.286824769433465,0.04,0.07,0.11,0.05,0.17,0.05,0.07,0.14,0.09,0.09,0.03,0.08
TN93,22,11416.8715155923,11264.4443430455,-5610.15530222184,n/a,n/a,1.21192358107501,0.253886693017128,0.208168642951252,0.251119894598155,0.286824769433465,0.05,0.06,0.11,0.06,0.19,0.06,0.06,0.16,0.06,0.09,0.05,0.06
T92,19,11435.0517169005,11303.3949626642,-5632.64728318153,n/a,n/a,1.19308215586482,0.23102766798419,0.23102766798419,0.26897233201581,0.26897233201581,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.13,0.06,0.13,0.05,0.06
K2,18,11440.9595167583,11316.2272978278,-5640.06847654564,n/a,n/a,1.19286092071059,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
HKY,21,11471.5947996485,11326.0905683935,-5641.98423768514,n/a,n/a,1.18864597798003,0.253886693017128,0.208168642951252,0.251119894598155,0.286824769433465,0.05,0.06,0.16,0.06,0.14,0.07,0.06,0.11,0.07,0.14,0.05,0.06
JC,17,11593.4036016286,11475.5964489207,-5720.75781241599,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
