Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,49989.2703598007,49757.800531439,-24851.8809267243,0.363373080363067,1.0931330091455,1.9004557566451,0.204677914110429,0.195373210633947,0.297137014314928,0.302811860940695,0.02,0.06,0.14,0.02,0.27,0.04,0.04,0.18,0.06,0.09,0.03,0.06
TN93+G+I,24,49993.4269707399,49787.6723262226,-24869.8208158802,0.369789225022156,1.12405711195406,1.90991881233657,0.204677914110429,0.195373210633947,0.297137014314928,0.302811860940695,0.03,0.05,0.13,0.03,0.27,0.05,0.03,0.18,0.05,0.09,0.03,0.05
GTR+G,26,50041.7693475339,49818.8711446641,-24883.417615153,n/a,0.339754565935512,1.98640454949548,0.204677914110429,0.195373210633947,0.297137014314928,0.302811860940695,0.02,0.06,0.13,0.02,0.28,0.04,0.04,0.18,0.06,0.09,0.02,0.06
TN93+G,23,50050.8330135361,49853.6503018636,-24903.8110318403,n/a,0.333294697219222,2.02394775658628,0.204677914110429,0.195373210633947,0.297137014314928,0.302811860940695,0.03,0.05,0.13,0.03,0.28,0.05,0.03,0.18,0.05,0.09,0.03,0.05
T92+G+I,21,50057.1916981459,49877.1531594612,-24917.5647632694,0.379477403422584,1.21374747510394,1.80388409679592,0.200025562372188,0.200025562372188,0.299974437627812,0.299974437627812,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.13,0.05,0.13,0.03,0.05
HKY+G+I,23,50092.8813829669,49895.6986712944,-24924.8352165558,0.379992918058466,1.21803968591579,1.80997939877771,0.204677914110429,0.195373210633947,0.297137014314928,0.302811860940695,0.03,0.05,0.2,0.04,0.19,0.05,0.04,0.13,0.05,0.13,0.03,0.05
T92+G,20,50119.883154877,49948.4168563195,-24954.197686197,n/a,0.342072795448317,1.87903380745085,0.200025562372188,0.200025562372188,0.299974437627812,0.299974437627812,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.13,0.05,0.13,0.03,0.05
HKY+G,22,50156.2019406949,49967.5912643026,-24961.7826899818,n/a,0.342057480129853,1.88602220784477,0.204677914110429,0.195373210633947,0.297137014314928,0.302811860940695,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.13,0.05,0.14,0.03,0.05
GTR+I,26,50259.1789000375,50036.2806971677,-24992.1223914048,0.462618706908032,n/a,1.58185081392376,0.204677914110429,0.195373210633947,0.297137014314928,0.302811860940695,0.02,0.06,0.15,0.02,0.23,0.05,0.04,0.15,0.07,0.1,0.03,0.07
TN93+I,23,50276.1358534191,50078.9531417466,-25016.4624517818,0.462526368046247,n/a,1.39475786938617,0.204677914110429,0.195373210633947,0.297137014314928,0.302811860940695,0.04,0.06,0.15,0.04,0.21,0.06,0.04,0.14,0.06,0.1,0.04,0.06
T92+I,20,50336.3461897221,50164.8798911645,-25062.4292036196,0.46362484347323,n/a,1.2942815729604,0.200025562372188,0.200025562372188,0.299974437627812,0.299974437627812,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.11,0.06,0.11,0.04,0.06
HKY+I,22,50371.5157050285,50182.9050286362,-25069.4395721486,0.463645101974976,n/a,1.29485686663598,0.204677914110429,0.195373210633947,0.297137014314928,0.302811860940695,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.11,0.06,0.12,0.04,0.06
K2+G+I,20,50511.4355211411,50339.9692225836,-25149.9738693291,0.380611852242468,1.38626608288121,1.59775969476786,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
