Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,8720.75122849524,8576.12792732853,-4267.00030976512,0.487960281655118,2.28508381701286,2.08418503922692,0.225686813186813,0.225686813186813,0.274313186813187,0.274313186813187,0.04,0.04,0.19,0.04,0.19,0.04,0.04,0.15,0.04,0.15,0.04,0.04
T92+I,20,8732.17827512669,8594.43627072139,-4277.16027615144,0.528651950771686,n/a,1.87828263844821,0.225686813186813,0.225686813186813,0.274313186813187,0.274313186813187,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
GTR+G+I,27,8733.84539151938,8547.94595991572,-4246.86873285361,0.471033311682439,2.04825738468316,2.15963048509005,0.212912087912088,0.238461538461538,0.267994505494505,0.280631868131868,0.01,0.06,0.14,0.01,0.23,0.02,0.05,0.21,0.07,0.11,0.02,0.06
T92+G,20,8737.68658077848,8599.94457637318,-4279.91442897733,n/a,0.313206218322,2.22242617327373,0.225686813186813,0.225686813186813,0.274313186813187,0.274313186813187,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
TN93+G+I,24,8738.0138356137,8572.74997139535,-4262.29228411256,0.482829866735221,2.23181708705834,2.10837689066104,0.212912087912088,0.238461538461538,0.267994505494505,0.280631868131868,0.04,0.04,0.14,0.03,0.23,0.04,0.03,0.2,0.04,0.11,0.04,0.04
HKY+G+I,23,8742.01370010759,8583.62946880508,-4268.7386594301,0.485794775158779,2.28273899169414,2.04775183032706,0.212912087912088,0.238461538461538,0.267994505494505,0.280631868131868,0.04,0.04,0.19,0.03,0.18,0.05,0.03,0.16,0.05,0.14,0.04,0.04
K2+G+I,20,8743.34534172182,8605.60333731652,-4282.743809449,0.489981573509618,2.6130300432263,1.97852838429018,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
GTR+G,26,8747.7517932162,8568.73032861762,-4258.26837677262,n/a,0.327240948322964,2.27644022090909,0.212912087912088,0.238461538461538,0.267994505494505,0.280631868131868,0.01,0.06,0.14,0.01,0.24,0.02,0.05,0.21,0.07,0.11,0.02,0.06
GTR+I,26,8748.2547400069,8569.23327540833,-4258.51985016797,0.52262155266279,n/a,1.94138045866798,0.212912087912088,0.238461538461538,0.267994505494505,0.280631868131868,0.01,0.06,0.15,0.01,0.21,0.03,0.05,0.19,0.07,0.11,0.03,0.07
TN93+I,23,8750.11357629238,8591.72934498986,-4272.78859752249,0.525560778368927,n/a,1.87081090525467,0.212912087912088,0.238461538461538,0.267994505494505,0.280631868131868,0.04,0.05,0.15,0.04,0.21,0.05,0.04,0.19,0.05,0.11,0.04,0.05
K2+I,19,8751.37753797371,8620.51738448668,-4291.20635064554,0.527251220500301,n/a,1.82171592661255,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+I,22,8753.63326225873,8602.12921871654,-4278.99488357627,0.527575242044272,n/a,1.85043367299535,0.212912087912088,0.238461538461538,0.267994505494505,0.280631868131868,0.04,0.05,0.18,0.04,0.17,0.05,0.04,0.16,0.05,0.14,0.04,0.05
