Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,13797.7445833946,13647.7702865594,-6802.83577375628,0.322745209931343,1.83425251734199,1.29613752443793,0.241897654584222,0.241897654584222,0.258102345415778,0.258102345415778,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.14,0.06,0.14,0.05,0.06
K2+G+I,20,13798.707738415,13655.8707907537,-6807.89051878749,0.323599013727196,1.8766151646704,1.28585478964563,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
TN93+G+I,24,13812.2817970416,13640.898029684,-6796.38487801679,0.323752257673865,1.81869285531089,1.31493635265413,0.257462686567164,0.226332622601279,0.251492537313433,0.264712153518124,0.05,0.05,0.12,0.06,0.17,0.06,0.06,0.16,0.06,0.12,0.05,0.05
HKY+G+I,23,13814.132750632,13649.8850438109,-6801.883522333,0.323404820680111,1.83071294560434,1.29433008190474,0.257462686567164,0.226332622601279,0.251492537313433,0.264712153518124,0.05,0.05,0.15,0.06,0.14,0.06,0.06,0.13,0.06,0.15,0.05,0.05
T92+G,20,13814.3821369273,13671.545189266,-6815.72771804363,n/a,0.491903546227292,1.35727808546047,0.241897654584222,0.241897654584222,0.258102345415778,0.258102345415778,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G,19,13815.8385897473,13680.1394205305,-6821.02911197466,n/a,0.496062810114895,1.34601274105157,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
GTR+G+I,27,13819.0175739825,13626.2282044952,-6786.03326392423,0.319592442017689,1.78864551384569,1.31451365198846,0.257462686567164,0.226332622601279,0.251492537313433,0.264712153518124,0.04,0.06,0.12,0.04,0.17,0.04,0.06,0.16,0.08,0.12,0.03,0.08
TN93+G,23,13830.2446494428,13665.9969426218,-6809.93947173841,n/a,0.486658015592312,1.37615513204695,0.257462686567164,0.226332622601279,0.251492537313433,0.264712153518124,0.05,0.05,0.13,0.05,0.18,0.06,0.05,0.16,0.06,0.12,0.05,0.05
HKY+G,22,13830.8031669633,13673.6919503622,-6814.79189801963,n/a,0.488501165242861,1.35794030644835,0.257462686567164,0.226332622601279,0.251492537313433,0.264712153518124,0.05,0.05,0.15,0.05,0.14,0.06,0.05,0.13,0.06,0.15,0.05,0.05
GTR+G,26,13835.5686109572,13649.9140121286,-6798.88194993259,n/a,0.495669963470274,1.36256198355654,0.257462686567164,0.226332622601279,0.251492537313433,0.264712153518124,0.04,0.06,0.12,0.04,0.18,0.04,0.06,0.16,0.08,0.12,0.03,0.08
K2+I,19,13840.0373933542,13704.3382241373,-6833.12851377808,0.38643067534951,n/a,1.17899392966108,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
T92+I,20,13840.5880270826,13697.7510794214,-6828.83066312131,0.386703301493789,n/a,1.18422741096507,0.241897654584222,0.241897654584222,0.258102345415778,0.258102345415778,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.13,0.06,0.13,0.06,0.06
TN93+I,23,13856.0760517379,13691.8283449168,-6822.85517288592,0.386777576451454,n/a,1.19185280134353,0.257462686567164,0.226332622601279,0.251492537313433,0.264712153518124,0.05,0.06,0.12,0.06,0.16,0.06,0.06,0.14,0.06,0.12,0.05,0.06
HKY+I,22,13856.7911628003,13699.6799461993,-6827.78589593816,0.386938276189463,n/a,1.18009394856536,0.257462686567164,0.226332622601279,0.251492537313433,0.264712153518124,0.05,0.06,0.14,0.06,0.14,0.06,0.06,0.12,0.06,0.14,0.05,0.06
GTR+I,26,13863.932229575,13678.2776307464,-6813.06375924148,0.385800354827962,n/a,1.20060274935917,0.257462686567164,0.226332622601279,0.251492537313433,0.264712153518124,0.04,0.06,0.12,0.05,0.16,0.05,0.06,0.14,0.08,0.12,0.04,0.08
JC+G+I,19,13961.0494665154,13825.3502972986,-6893.63455035868,0.328945171946772,2.19459664118416,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,13982.1286495138,13853.5676878743,-6908.74730937889,n/a,0.527539999915311,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,13993.3850308704,13864.824069231,-6914.37550005722,0.384900609833201,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,14459.8142910384,14331.253329399,-7147.59013014122,n/a,n/a,1.04012178217926,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
T92,19,14464.392143467,14328.6929742502,-7145.3058888345,n/a,n/a,1.04062141322463,0.241897654584222,0.241897654584222,0.258102345415778,0.258102345415778,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.12,0.06,0.12,0.06,0.06
GTR,25,14481.4919369796,14302.9725389069,-7126.4167804648,n/a,n/a,1.03760295727037,0.257462686567164,0.226332622601279,0.251492537313433,0.264712153518124,0.04,0.07,0.12,0.05,0.14,0.05,0.07,0.13,0.09,0.12,0.04,0.09
HKY,21,14483.3491058926,14333.3748090574,-7145.63803500528,n/a,n/a,1.03759942405769,0.257462686567164,0.226332622601279,0.251492537313433,0.264712153518124,0.06,0.06,0.13,0.06,0.13,0.07,0.06,0.12,0.07,0.13,0.06,0.06
TN93,22,14488.6228401984,14331.5116235973,-7143.70173463718,n/a,n/a,1.03858539158515,0.257462686567164,0.226332622601279,0.251492537313433,0.264712153518124,0.06,0.06,0.12,0.06,0.14,0.06,0.06,0.13,0.06,0.12,0.06,0.06
JC,17,14596.318482197,14474.8961571303,-7220.41539324151,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
