Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,30001.8047965442,29788.4187337918,-14867.1716084302,0.201453516070004,1.13678106197594,1.44301106995939,0.225835411471322,0.215860349127182,0.26643391521197,0.291870324189526,0.03,0.07,0.12,0.03,0.21,0.03,0.06,0.17,0.09,0.1,0.02,0.08
GTR+G,26,30007.8577447865,29802.3722688982,-14875.1510747677,n/a,0.58238341791085,1.46829518459189,0.225835411471322,0.215860349127182,0.26643391521197,0.291870324189526,0.03,0.07,0.12,0.03,0.21,0.03,0.06,0.17,0.08,0.1,0.02,0.08
TN93+G+I,24,30038.6038739491,29848.9201726571,-14900.4301237818,0.223845521624279,1.217466479169,1.46001657442025,0.225835411471322,0.215860349127182,0.26643391521197,0.291870324189526,0.04,0.05,0.12,0.05,0.21,0.06,0.05,0.17,0.06,0.09,0.04,0.05
TN93+G,23,30049.8862088833,29868.1036952636,-14911.0242834652,n/a,0.557286151591054,1.50720990686948,0.225835411471322,0.215860349127182,0.26643391521197,0.291870324189526,0.04,0.05,0.12,0.04,0.22,0.06,0.04,0.17,0.06,0.09,0.04,0.05
T92+G+I,21,30053.150114221,29887.170576544,-14922.5622205668,0.223220207384544,1.18944955722975,1.42475718613099,0.220847880299252,0.220847880299252,0.279152119700748,0.279152119700748,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
T92+G,20,30063.0053874978,29904.9276380313,-14932.4428494215,n/a,0.554679336734377,1.46554019292593,0.220847880299252,0.220847880299252,0.279152119700748,0.279152119700748,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
HKY+G+I,23,30093.8590200118,29912.0765063921,-14933.0106890295,0.221067229602822,1.17676498181543,1.43178510938541,0.225835411471322,0.215860349127182,0.26643391521197,0.291870324189526,0.04,0.05,0.17,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.04,0.05
HKY+G,22,30103.2883728391,29929.4072471011,-14942.6783576595,n/a,0.555483460810097,1.47259172296793,0.225835411471322,0.215860349127182,0.26643391521197,0.291870324189526,0.04,0.05,0.17,0.05,0.16,0.06,0.05,0.13,0.06,0.14,0.04,0.05
GTR+I,26,30170.8162997479,29965.3308238595,-14956.6303522484,0.339919308646908,n/a,1.28342327132731,0.225835411471322,0.215860349127182,0.26643391521197,0.291870324189526,0.03,0.06,0.13,0.03,0.19,0.05,0.05,0.16,0.09,0.1,0.03,0.08
K2+G+I,20,30201.7763961694,30043.6986467029,-15001.8283537573,0.235621038496439,1.40365970592623,1.33848529938486,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
TN93+I,23,30203.9241524356,30022.1416388159,-14988.0432552414,0.342634396845599,n/a,1.26833301091482,0.225835411471322,0.215860349127182,0.26643391521197,0.291870324189526,0.05,0.06,0.12,0.05,0.19,0.06,0.05,0.15,0.06,0.1,0.05,0.06
K2+G,19,30215.9785219181,30065.8027607815,-15013.8824088481,n/a,0.595995734491795,1.37533444375145,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
T92+I,20,30220.212471979,30062.1347225125,-15011.0463916621,0.346409359531699,n/a,1.25459650138752,0.220847880299252,0.220847880299252,0.279152119700748,0.279152119700748,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
HKY+I,22,30263.1037286868,30089.2226029487,-15022.5860355833,0.346094275886869,n/a,1.25537110340721,0.225835411471322,0.215860349127182,0.26643391521197,0.291870324189526,0.05,0.06,0.16,0.05,0.15,0.06,0.05,0.12,0.06,0.13,0.05,0.06
K2+I,19,30339.9689701369,30189.7932090003,-15075.8776329575,0.344033969360922,n/a,1.21333400348648,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
