Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,9848.63799864863,9712.93026646533,-4836.40109908112,n/a,0.469691446743462,1.72202931507673,0.213905775075988,0.213905775075988,0.286094224924012,0.286094224924012,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
T92+G+I,21,9850.64429873865,9708.15760484276,-4833.00835411397,0.246451563313165,1.05141869911942,1.65480305034011,0.213905775075988,0.213905775075988,0.286094224924012,0.286094224924012,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.13,0.04,0.05
GTR+G,26,9854.57361139312,9678.2013237747,-4812.99353538041,n/a,0.451824884402555,1.79718277901471,0.218844984802432,0.208966565349544,0.285106382978723,0.287082066869301,0.01,0.09,0.14,0.01,0.24,0.02,0.07,0.18,0.06,0.1,0.02,0.06
GTR+G+I,27,9859.67513591727,9676.52757449142,-4811.14840263032,0.20016346715038,0.816862779489462,1.75668025581275,0.218844984802432,0.208966565349544,0.285106382978723,0.287082066869301,0.02,0.08,0.13,0.02,0.24,0.03,0.06,0.18,0.06,0.1,0.02,0.06
TN93+G+I,24,9860.39240602695,9697.57251180484,-4824.69472272164,0.268474117406512,1.19138558921893,1.72318116473868,0.218844984802432,0.208966565349544,0.285106382978723,0.287082066869301,0.04,0.05,0.13,0.04,0.24,0.05,0.04,0.17,0.05,0.1,0.04,0.05
TN93+G,23,9861.27302181629,9705.23024661997,-4829.53092562847,n/a,0.46330494522215,1.80381011287571,0.218844984802432,0.208966565349544,0.285106382978723,0.287082066869301,0.04,0.05,0.13,0.04,0.24,0.05,0.04,0.17,0.05,0.1,0.04,0.05
HKY+G,22,9866.85130457581,9717.58626291527,-4836.71596202039,n/a,0.47014885624771,1.72591743977405,0.218844984802432,0.208966565349544,0.285106382978723,0.287082066869301,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.14,0.04,0.05
HKY+G+I,23,9868.64617015141,9712.60339495509,-4833.21749979603,0.248670198078516,1.06522826084962,1.65705302861272,0.218844984802432,0.208966565349544,0.285106382978723,0.287082066869301,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.13,0.05,0.14,0.04,0.05
T92+I,20,9905.11084790051,9769.40311571722,-4864.63752370706,0.370887257279633,n/a,1.39880038494504,0.213905775075988,0.213905775075988,0.286094224924012,0.286094224924012,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
K2+G,19,9907.58414377435,9778.65598697082,-4870.27006665614,n/a,0.51289215246821,1.55816554619621,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
