Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,24789.282228383,24575.7883487763,-12260.85656619,0.353278884852707,1.05660434248754,2.54352663314372,0.255141579731744,0.207153502235469,0.258519622454049,0.279185295578738,0.01,0.04,0.1,0.01,0.29,0.04,0.04,0.24,0.05,0.1,0.03,0.04
TN93+G+I,24,24792.9413817479,24603.1618719458,-12277.5510926503,0.354593391276716,1.04160985037528,2.54834112388553,0.255141579731744,0.207153502235469,0.258519622454049,0.279185295578738,0.03,0.04,0.1,0.04,0.29,0.04,0.04,0.23,0.04,0.1,0.03,0.04
TN93+G,23,24809.0146568029,24627.1403358568,-12290.5427134372,n/a,0.352975050964841,2.68005842529361,0.255141579731744,0.207153502235469,0.258519622454049,0.279185295578738,0.03,0.03,0.1,0.03,0.3,0.04,0.03,0.24,0.04,0.09,0.03,0.03
GTR+G,26,24846.7993691536,24641.2100799914,-12294.5701198345,n/a,0.37877749089854,2.19736333615804,0.255141579731744,0.207153502235469,0.258519622454049,0.279185295578738,0.03,0.04,0.11,0.04,0.26,0.04,0.04,0.21,0.05,0.1,0.03,0.05
T92+G+I,21,24867.3414123154,24701.2780672841,-12329.6160577121,0.378163584929317,1.17510067501541,2.30693208987455,0.231147540983607,0.231147540983607,0.268852459016393,0.268852459016393,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
T92+G,20,24880.7398195682,24722.5822615362,-12341.2702445977,n/a,0.358147779580207,2.36381798441415,0.231147540983607,0.231147540983607,0.268852459016393,0.268852459016393,0.03,0.04,0.19,0.03,0.19,0.04,0.03,0.16,0.04,0.16,0.03,0.04
K2+G+I,20,24907.2087349952,24749.0511769632,-12354.5047023113,0.378774637847148,1.22941989070966,2.23325276219513,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
TN93+I,23,24914.3739848258,24732.4996638796,-12343.2223774486,0.476522488141586,n/a,2.04328115056853,0.255141579731744,0.207153502235469,0.258519622454049,0.279185295578738,0.03,0.04,0.12,0.04,0.25,0.05,0.04,0.2,0.05,0.11,0.03,0.04
K2+G,19,24920.3865220082,24770.1349502974,-12366.0485790771,n/a,0.367498350620715,2.28685038527346,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+G+I,23,24933.5749011935,24751.7005802473,-12352.8228356325,0.383749401380355,1.20966991063642,2.36743889674027,0.255141579731744,0.207153502235469,0.258519622454049,0.279185295578738,0.03,0.04,0.2,0.04,0.18,0.04,0.04,0.15,0.04,0.18,0.03,0.04
GTR+I,26,24941.0327229628,24735.4434338006,-12341.6867967392,0.477272824307326,n/a,1.8250400309969,0.255141579731744,0.207153502235469,0.258519622454049,0.279185295578738,0.04,0.04,0.12,0.04,0.23,0.05,0.04,0.18,0.05,0.11,0.04,0.05
HKY+G,22,24948.5214762522,24774.5525435728,-12365.2511064211,n/a,0.356150650589461,2.43185936500572,0.255141579731744,0.207153502235469,0.258519622454049,0.279185295578738,0.03,0.04,0.2,0.04,0.18,0.04,0.04,0.15,0.04,0.18,0.03,0.04
T92+I,20,24977.1935020238,24819.0359439919,-12389.4970858256,0.484816204972173,n/a,1.99584022453091,0.231147540983607,0.231147540983607,0.268852459016393,0.268852459016393,0.04,0.04,0.18,0.04,0.18,0.04,0.04,0.15,0.04,0.15,0.04,0.04
K2+I,19,25011.294518495,24861.0429467842,-12411.5025773205,0.483670732211296,n/a,1.95830641077971,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
HKY+I,22,25039.7256416582,24865.7567089788,-12410.8531891241,0.485363597457691,n/a,2.03621931978737,0.255141579731744,0.207153502235469,0.258519622454049,0.279185295578738,0.03,0.04,0.19,0.04,0.17,0.05,0.04,0.14,0.05,0.17,0.03,0.04
JC+G+I,19,25735.2113895682,25584.9598178574,-12773.4610128571,0.402796712776335,1.85045325621232,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,25755.6680279637,25613.3226418659,-12788.6443153142,n/a,0.415747399702394,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,25799.7170834173,25657.3716973195,-12810.668843041,0.479219419885397,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,26251.3612677743,26077.392335095,-13016.6710021822,n/a,n/a,1.67064377308396,0.255141579731744,0.207153502235469,0.258519622454049,0.279185295578738,0.04,0.05,0.11,0.05,0.23,0.05,0.05,0.18,0.05,0.1,0.04,0.05
GTR,25,26264.3402147771,26066.6557155598,-13008.2955259056,n/a,n/a,1.47098486265546,0.255141579731744,0.207153502235469,0.258519622454049,0.279185295578738,0.04,0.05,0.11,0.05,0.21,0.05,0.05,0.17,0.07,0.1,0.04,0.06
T92,19,26363.9301804719,26213.6786087611,-13087.8204083089,n/a,n/a,1.64953460281618,0.231147540983607,0.231147540983607,0.268852459016393,0.268852459016393,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.14,0.04,0.05
K2,18,26364.5456016258,26222.200215528,-13093.0831021452,n/a,n/a,1.64639998800877,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
HKY,21,26439.1489236065,26273.0855785752,-13115.5198133576,n/a,n/a,1.64601891233003,0.255141579731744,0.207153502235469,0.258519622454049,0.279185295578738,0.04,0.05,0.17,0.05,0.16,0.05,0.05,0.13,0.05,0.16,0.04,0.05
JC,17,27071.26422193,26936.8252207075,-13451.3973955566,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
