Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,13221.2250634939,13074.9557203273,-6516.41899166211,0.261235948996002,1.66435140041347,1.22435108859187,0.209593392630241,0.209593392630241,0.290406607369759,0.290406607369759,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
T92+G,20,13235.1529714804,13095.8437246547,-6527.86835232607,n/a,0.518455773322444,1.31779104603149,0.209593392630241,0.209593392630241,0.290406607369759,0.290406607369759,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.12,0.06,0.12,0.04,0.06
GTR+G+I,27,13237.542419127,13049.5232668661,-6497.66522945447,0.248356136022875,1.48710474699525,1.22449088094905,0.200508259212198,0.218678526048285,0.276111817026684,0.304701397712834,0.02,0.1,0.15,0.02,0.17,0.05,0.08,0.14,0.07,0.1,0.03,0.07
HKY+G+I,23,13244.9260878061,13084.7380895949,-6519.2986904768,0.259398507964275,1.62947862271369,1.22606533138972,0.200508259212198,0.218678526048285,0.276111817026684,0.304701397712834,0.05,0.06,0.17,0.04,0.15,0.07,0.04,0.12,0.07,0.11,0.05,0.06
TN93+G+I,24,13249.5688771609,13082.4223206382,-6517.13467848351,0.259726864151993,1.61405249846643,1.24304679004826,0.200508259212198,0.218678526048285,0.276111817026684,0.304701397712834,0.05,0.06,0.15,0.04,0.18,0.07,0.04,0.14,0.07,0.1,0.05,0.06
HKY+G,22,13257.99973435,13104.770807323,-6530.32092041947,n/a,0.517474231576399,1.31714523203425,0.200508259212198,0.218678526048285,0.276111817026684,0.304701397712834,0.05,0.06,0.18,0.04,0.16,0.06,0.04,0.13,0.06,0.12,0.05,0.06
TN93+G,23,13262.9428394933,13102.7548412822,-6528.30706632044,n/a,0.513417027127514,1.33380440498854,0.200508259212198,0.218678526048285,0.276111817026684,0.304701397712834,0.05,0.06,0.15,0.04,0.18,0.06,0.04,0.14,0.06,0.1,0.05,0.06
GTR+G,26,13266.2833940812,13085.2212603372,-6516.52112360225,n/a,0.52740868858234,1.13469744527115,0.200508259212198,0.218678526048285,0.276111817026684,0.304701397712834,0.05,0.1,0.16,0.04,0.15,0.04,0.07,0.12,0.07,0.11,0.03,0.06
T92+I,20,13282.8822774789,13143.5730306533,-6551.73300532535,0.319086949674717,n/a,1.05332613508525,0.209593392630241,0.209593392630241,0.290406607369759,0.290406607369759,0.05,0.07,0.15,0.05,0.15,0.07,0.05,0.11,0.07,0.11,0.05,0.07
HKY+I,22,13308.7674384781,13155.538511451,-6555.7047724835,0.318930109159504,n/a,1.05319340420119,0.200508259212198,0.218678526048285,0.276111817026684,0.304701397712834,0.05,0.07,0.16,0.05,0.14,0.07,0.05,0.11,0.07,0.1,0.05,0.07
TN93+I,23,13314.7788433267,13154.5908451156,-6554.22506823714,0.318962439914076,n/a,1.05904197123465,0.200508259212198,0.218678526048285,0.276111817026684,0.304701397712834,0.05,0.07,0.15,0.05,0.16,0.07,0.05,0.12,0.07,0.1,0.05,0.07
K2+G+I,20,13325.3473583844,13186.0381115587,-6572.96554577809,0.264712991108539,2.00407514784299,1.09598428547663,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
GTR+I,26,13328.9975745129,13147.9354407689,-6547.87821381808,0.317149547680853,n/a,0.931947638919095,0.200508259212198,0.218678526048285,0.276111817026684,0.304701397712834,0.05,0.09,0.15,0.05,0.14,0.06,0.06,0.11,0.08,0.1,0.04,0.07
K2+G,19,13343.3214627483,13210.9728245481,-6586.43800463075,n/a,0.576027553019668,1.17307715271043,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
K2+I,19,13371.6819969718,13239.3333587716,-6600.61827174251,0.317129009779939,n/a,0.984477791632732,0.25,0.25,0.25,0.25,0.06,0.06,0.12,0.06,0.12,0.06,0.06,0.12,0.06,0.12,0.06,0.06
JC+G+I,19,13425.8377987519,13293.4891605517,-6627.69617263254,0.271147086421344,2.48376056412843,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,13450.5731599751,13325.1856424892,-6644.54925991484,n/a,0.635833959893775,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,13459.9944278019,13334.606910316,-6649.25989382823,0.315819488775043,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,13857.153287328,13724.8046491278,-6843.35391692058,n/a,n/a,0.894159480617376,0.209593392630241,0.209593392630241,0.290406607369759,0.290406607369759,0.05,0.08,0.14,0.05,0.14,0.08,0.05,0.1,0.08,0.1,0.05,0.08
GTR,25,13875.94921174,13701.8446099742,-6825.83943910236,n/a,n/a,0.783548301031558,0.200508259212198,0.218678526048285,0.276111817026684,0.304701397712834,0.05,0.09,0.14,0.04,0.12,0.06,0.07,0.09,0.1,0.09,0.04,0.09
HKY,21,13881.9262244242,13735.6568812576,-6846.76957212727,n/a,n/a,0.896481027371579,0.200508259212198,0.218678526048285,0.276111817026684,0.304701397712834,0.06,0.07,0.15,0.05,0.13,0.08,0.05,0.1,0.08,0.1,0.06,0.07
TN93,22,13890.6808280385,13737.4519010114,-6846.66146726372,n/a,n/a,0.896412129502966,0.200508259212198,0.218678526048285,0.276111817026684,0.304701397712834,0.06,0.07,0.14,0.05,0.14,0.08,0.05,0.11,0.08,0.09,0.06,0.07
K2,18,13902.0953746593,13776.7078571734,-6870.31036725693,n/a,n/a,0.878923855643774,0.25,0.25,0.25,0.25,0.07,0.07,0.12,0.07,0.12,0.07,0.07,0.12,0.07,0.12,0.07,0.07
JC,17,13975.4081890813,13856.9823042029,-6911.45218113866,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
