Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G+I,21,10704.6461788937,10561.1251019831,-5259.49547782083,0.291470393317888,1.67838112711426,1.36699150285627,0.193921852387844,0.193921852387844,0.306078147612156,0.306078147612156,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.11,0.06,0.11,0.04,0.06
T92+G,20,10715.4223853954,10578.7298205774,-5269.3039435301,n/a,0.507442681890947,1.4420733309196,0.193921852387844,0.193921852387844,0.306078147612156,0.306078147612156,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.12,0.06,0.12,0.04,0.06
TN93+G+I,24,10716.2363480375,10552.2332419743,-5252.02947501763,0.291131358262436,1.6689868662253,1.43928378346926,0.196526772793054,0.191316931982634,0.275832127351664,0.336324167872648,0.04,0.05,0.14,0.04,0.23,0.07,0.04,0.16,0.07,0.08,0.04,0.05
GTR+G+I,27,10725.6295352693,10541.1496660913,-5243.46498125836,0.27288301417518,1.42537487105063,1.44134407567332,0.196526772793054,0.191316931982634,0.275832127351664,0.336324167872648,0.02,0.08,0.14,0.03,0.23,0.04,0.06,0.16,0.08,0.08,0.02,0.06
TN93+G,23,10727.3133566897,10570.1370089018,-5261.98834180207,n/a,0.497625208573923,1.51695054045444,0.196526772793054,0.191316931982634,0.275832127351664,0.336324167872648,0.04,0.05,0.14,0.04,0.24,0.06,0.04,0.16,0.06,0.08,0.04,0.05
GTR+G,26,10731.2381047189,10553.5832377054,-5250.68962844154,n/a,0.49701951649584,1.49960770786519,0.196526772793054,0.191316931982634,0.275832127351664,0.336324167872648,0.02,0.08,0.14,0.02,0.24,0.04,0.06,0.16,0.07,0.08,0.02,0.06
HKY+G+I,23,10736.3869781126,10579.2106303248,-5266.52515251355,0.285685298199796,1.59849476991247,1.36578257663493,0.196526772793054,0.191316931982634,0.275832127351664,0.336324167872648,0.04,0.06,0.2,0.04,0.16,0.07,0.04,0.11,0.07,0.12,0.04,0.06
HKY+G,22,10745.5003255533,10595.1513209013,-5275.50218869226,n/a,0.507871677512988,1.44148996676594,0.196526772793054,0.191316931982634,0.275832127351664,0.336324167872648,0.04,0.05,0.2,0.04,0.17,0.07,0.04,0.12,0.07,0.12,0.04,0.05
T92+I,20,10747.8918473905,10611.1992825725,-5285.53867452763,0.358390259823666,n/a,1.21779762462678,0.193921852387844,0.193921852387844,0.306078147612156,0.306078147612156,0.04,0.07,0.17,0.04,0.17,0.07,0.04,0.11,0.07,0.11,0.04,0.07
TN93+I,23,10761.1642007183,10603.9878529304,-5278.91376381637,0.355561299602878,n/a,1.25359256480985,0.196526772793054,0.191316931982634,0.275832127351664,0.336324167872648,0.04,0.06,0.14,0.04,0.21,0.07,0.04,0.14,0.07,0.08,0.04,0.06
GTR+I,26,10777.3757019766,10599.7208349631,-5273.75842707037,0.354608459942989,n/a,1.26325370236392,0.196526772793054,0.191316931982634,0.275832127351664,0.336324167872648,0.03,0.07,0.14,0.03,0.21,0.05,0.05,0.14,0.08,0.08,0.03,0.07
HKY+I,22,10782.6057811262,10632.2567764742,-5294.05491647871,0.357463458438675,n/a,1.20437753740432,0.196526772793054,0.191316931982634,0.275832127351664,0.336324167872648,0.04,0.06,0.19,0.04,0.15,0.07,0.04,0.11,0.07,0.11,0.04,0.06
K2+G+I,20,10808.3591643053,10671.6665994873,-5315.77233298505,0.300384291990156,2.08944056495524,1.23524147620275,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
K2+G,19,10823.0360787192,10693.1726100903,-5327.53115265036,n/a,0.560771719476303,1.28835259365161,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+I,19,10838.4559628944,10708.5924942655,-5335.24109473797,0.357996607101077,n/a,1.14963672820313,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
