Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G+I,20,9857.12352788004,9720.48928914262,-4840.18350029994,0.33046598658627,1.67099728948556,1.66608868688898,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92+G+I,21,9858.67357881003,9715.21376214898,-4836.53961258294,0.333258437524955,1.67785314574832,1.69632540530844,0.235050798258345,0.235050798258345,0.264949201741655,0.264949201741655,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
K2+G,19,9867.22659720117,9737.41852219477,-4849.65394814251,n/a,0.464582038333523,1.74195708245672,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92+G,20,9869.34731505361,9732.71307631618,-4846.29539388673,n/a,0.457235672022693,1.77940305149268,0.235050798258345,0.235050798258345,0.264949201741655,0.264949201741655,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.15,0.05,0.15,0.04,0.05
TN93+G+I,24,9878.79150080779,9714.85846778027,-4833.3418340358,0.334136711883266,1.72107596085831,1.71410912182769,0.245137880986938,0.224963715529753,0.258055152394775,0.271843251088534,0.04,0.05,0.14,0.04,0.2,0.05,0.04,0.17,0.05,0.12,0.04,0.05
HKY+G+I,23,9878.8807902648,9721.77157620255,-4837.80539194631,0.334589805921847,1.70250380555418,1.70447637346235,0.245137880986938,0.224963715529753,0.258055152394775,0.271843251088534,0.04,0.05,0.17,0.05,0.16,0.05,0.05,0.14,0.05,0.15,0.04,0.05
HKY+G,22,9889.96731231159,9739.68250379025,-4847.76756615171,n/a,0.457916101284717,1.78906371339955,0.245137880986938,0.224963715529753,0.258055152394775,0.271843251088534,0.04,0.05,0.17,0.04,0.17,0.05,0.04,0.14,0.05,0.16,0.04,0.05
TN93+G,23,9890.18308315781,9733.07386909556,-4843.45653839281,n/a,0.457168411056491,1.80844911058451,0.245137880986938,0.224963715529753,0.258055152394775,0.271843251088534,0.04,0.05,0.14,0.04,0.2,0.05,0.04,0.18,0.05,0.13,0.04,0.05
K2+I,19,9890.56237982073,9760.75430481433,-4861.32183945229,0.39818711280012,n/a,1.49327405338323,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+I,20,9891.77389189233,9755.1396531549,-4857.50868230609,0.398887165688834,n/a,1.51393098782229,0.235050798258345,0.235050798258345,0.264949201741655,0.264949201741655,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
GTR+G+I,27,9898.25900589866,9713.85803799351,-4829.81884703523,0.316558435039324,1.4326406633098,1.73981199705021,0.245137880986938,0.224963715529753,0.258055152394775,0.271843251088534,0.04,0.06,0.14,0.05,0.2,0.03,0.06,0.17,0.05,0.13,0.03,0.04
GTR+G,26,9904.95715307244,9727.37824286687,-4837.58683380412,n/a,0.446708443771427,1.82517191146084,0.245137880986938,0.224963715529753,0.258055152394775,0.271843251088534,0.04,0.07,0.14,0.04,0.2,0.03,0.06,0.18,0.05,0.13,0.02,0.04
TN93+I,23,9910.11996942126,9753.01075535902,-4853.42498152454,0.397584500957699,n/a,1.52529343483294,0.245137880986938,0.224963715529753,0.258055152394775,0.271843251088534,0.04,0.05,0.14,0.05,0.18,0.05,0.05,0.16,0.05,0.12,0.04,0.05
HKY+I,22,9911.23192602219,9760.94711750085,-4858.39987300701,0.398975417824515,n/a,1.52140315178172,0.245137880986938,0.224963715529753,0.258055152394775,0.271843251088534,0.04,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.15,0.04,0.05
GTR+I,26,9934.96599184696,9757.38708164139,-4852.59125319138,0.397229405331297,n/a,1.52669172508614,0.245137880986938,0.224963715529753,0.258055152394775,0.271843251088534,0.05,0.05,0.14,0.05,0.18,0.05,0.05,0.16,0.05,0.12,0.04,0.05
JC+G+I,19,10056.0505723653,9926.24249735891,-4944.06593572458,0.337843960906917,2.14107597895007,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,10068.6231145746,9945.64178885083,-4954.77112001121,n/a,0.514404560859086,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,10079.2248798654,9956.24355414165,-4960.07200265662,0.395498029847277,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,10348.1838213715,10225.2024956478,-5094.55147340969,n/a,n/a,1.27870944076358,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
T92,19,10357.2709996545,10227.4629246481,-5094.67614936917,n/a,n/a,1.28029011297499,0.235050798258345,0.235050798258345,0.264949201741655,0.264949201741655,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.13,0.06,0.13,0.05,0.06
TN93,22,10372.4637524535,10222.1789439322,-5089.01578622269,n/a,n/a,1.28466954590744,0.245137880986938,0.224963715529753,0.258055152394775,0.271843251088534,0.05,0.06,0.13,0.05,0.17,0.06,0.05,0.15,0.06,0.12,0.05,0.06
HKY,21,10377.4519891281,10233.9921724671,-5095.92881774198,n/a,n/a,1.27984981382827,0.245137880986938,0.224963715529753,0.258055152394775,0.271843251088534,0.05,0.06,0.15,0.05,0.14,0.06,0.05,0.13,0.06,0.14,0.05,0.06
GTR,25,10388.3688005393,10217.6125353785,-5083.71157071955,n/a,n/a,1.28515037647644,0.245137880986938,0.224963715529753,0.258055152394775,0.271843251088534,0.04,0.07,0.13,0.05,0.17,0.04,0.07,0.15,0.06,0.12,0.04,0.06
JC,17,10515.1409029456,10398.9869118006,-5182.44892737874,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
