Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G,23,12498.4664479852,12339.4857591145,-6146.66874579416,n/a,0.774977483354346,1.55883424024858,0.227309236947791,0.233601070950469,0.260776439089692,0.278313253012048,0.05,0.05,0.11,0.04,0.22,0.05,0.04,0.19,0.05,0.09,0.05,0.05
TN93+G+I,24,12502.8337083038,12336.9472836301,-6144.39305081436,0.124743175545332,1.3059437678035,1.5377320764954,0.227309236947791,0.233601070950469,0.260776439089692,0.278313253012048,0.05,0.05,0.11,0.04,0.22,0.05,0.04,0.19,0.05,0.09,0.05,0.05
GTR+G,26,12504.2144414806,12324.5181678648,-6136.16476712465,n/a,0.814293757806659,1.52141548300277,0.227309236947791,0.233601070950469,0.260776439089692,0.278313253012048,0.03,0.05,0.11,0.03,0.22,0.04,0.05,0.19,0.08,0.09,0.04,0.08
T92+G,20,12507.7051323259,12369.4448935777,-6164.66606338168,n/a,0.753680244160729,1.50471123002601,0.23045515394913,0.23045515394913,0.26954484605087,0.26954484605087,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
GTR+G+I,27,12509.7245625577,12323.1241762388,-6134.46050252415,0.112174244406314,1.28840486062358,1.50890165216614,0.227309236947791,0.233601070950469,0.260776439089692,0.278313253012048,0.03,0.05,0.11,0.03,0.22,0.04,0.05,0.19,0.08,0.09,0.04,0.08
T92+G+I,21,12513.6629357186,12368.4953400283,-6163.18563993895,0.111384861138945,1.16044963934533,1.48662402883006,0.23045515394913,0.23045515394913,0.26954484605087,0.26954484605087,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY+G,22,12527.1300173382,12375.0556048679,-6165.45985560971,n/a,0.755055850971678,1.50662158571687,0.227309236947791,0.233601070950469,0.260776439089692,0.278313253012048,0.05,0.05,0.17,0.05,0.16,0.06,0.05,0.14,0.06,0.14,0.05,0.05
HKY+G+I,23,12533.2266387913,12374.2459499206,-6164.04884119718,0.109209844433362,1.14994224387507,1.488786545341,0.227309236947791,0.233601070950469,0.260776439089692,0.278313253012048,0.05,0.05,0.17,0.05,0.16,0.06,0.05,0.14,0.06,0.14,0.05,0.05
K2+G,19,12538.9751981966,12407.622856335,-6184.76042145611,n/a,0.788535103217651,1.45614876704069,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G+I,20,12544.881011587,12406.6207728388,-6183.25400301221,0.111006229974232,1.22261198712414,1.4382380498582,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
