Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,13965.5921554222,13824.2904880463,-6892.0967955285,n/a,0.583045083492186,1.33318614173132,0.219332566168009,0.219332566168009,0.280667433831991,0.280667433831991,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
T92+G+I,21,13970.5180017156,13822.1561081169,-6890.02475456606,0.154120813699651,0.937653974766856,1.31663683266507,0.219332566168009,0.219332566168009,0.280667433831991,0.280667433831991,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.13,0.06,0.13,0.05,0.06
GTR+G,26,13977.3881599642,13793.732094857,-6870.78501314475,n/a,0.584873475063862,1.34252275433803,0.22566168009206,0.213003452243959,0.275143843498274,0.286191024165708,0.03,0.08,0.13,0.03,0.2,0.03,0.07,0.15,0.08,0.1,0.02,0.08
TN93+G,23,13981.3359884728,13818.8550338678,-6886.3638197264,n/a,0.578494963025141,1.37270154011763,0.22566168009206,0.213003452243959,0.275143843498274,0.286191024165708,0.04,0.06,0.13,0.05,0.2,0.06,0.05,0.15,0.06,0.1,0.04,0.06
GTR+G+I,27,13982.3565216826,13791.6430153195,-6868.73422989481,0.150213591220473,0.926456301856924,1.33302241803177,0.22566168009206,0.213003452243959,0.275143843498274,0.286191024165708,0.03,0.08,0.13,0.03,0.2,0.03,0.06,0.15,0.08,0.1,0.02,0.08
TN93+G+I,24,13984.4440975893,13814.9043085219,-6883.38291017556,0.171838199390475,1.00563900384877,1.35385329038752,0.22566168009206,0.213003452243959,0.275143843498274,0.286191024165708,0.04,0.06,0.13,0.05,0.2,0.06,0.05,0.15,0.06,0.1,0.04,0.06
HKY+G,22,13987.7591145542,13832.3374584923,-6894.11034687625,n/a,0.584282793543685,1.3350667150011,0.22566168009206,0.213003452243959,0.275143843498274,0.286191024165708,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.13,0.05,0.06
HKY+G+I,23,13992.5746685943,13830.0937139893,-6891.98315978716,0.155628259971797,0.945609398476331,1.31790311810087,0.22566168009206,0.213003452243959,0.275143843498274,0.286191024165708,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.13,0.05,0.06
K2+G,19,14010.7381132494,13876.4971356953,-6919.20473855123,n/a,0.596301198150148,1.29975981163558,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G+I,20,14015.2565256881,13873.9548583122,-6916.92898066144,0.159513034039518,0.982482364390339,1.28418090583552,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
T92+I,20,14084.9862157588,13943.6845483828,-6951.79382569679,0.31540479056323,n/a,1.15798642468981,0.219332566168009,0.219332566168009,0.280667433831991,0.280667433831991,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.12,0.06,0.12,0.05,0.06
TN93+I,23,14092.9945601463,13930.5136055413,-6942.19310556317,0.31456713083902,n/a,1.17783408987398,0.22566168009206,0.213003452243959,0.275143843498274,0.286191024165708,0.05,0.06,0.12,0.05,0.18,0.07,0.05,0.14,0.07,0.1,0.05,0.06
GTR+I,26,14098.3310829534,13914.6750178462,-6931.25647463935,0.313890728105393,n/a,1.18232022882558,0.22566168009206,0.213003452243959,0.275143843498274,0.286191024165708,0.04,0.07,0.12,0.04,0.19,0.05,0.06,0.14,0.08,0.1,0.03,0.08
HKY+I,22,14106.2207585132,13950.7991024513,-6953.34116885574,0.315417623305246,n/a,1.15711722723815,0.22566168009206,0.213003452243959,0.275143843498274,0.286191024165708,0.05,0.06,0.15,0.05,0.15,0.07,0.05,0.12,0.07,0.12,0.05,0.06
K2+I,19,14123.7999128626,13989.5589353085,-6975.73563835783,0.315369018785534,n/a,1.1432635979983,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC+G,18,14173.7813974104,14046.6015731169,-7005.26134474088,n/a,0.624513098498779,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,14178.2235250396,14043.9825474855,-7002.94744444633,0.16087170735848,1.0479931539069,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,14276.9419489807,14149.7621246871,-7056.841620526,0.313500125502774,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92,19,14572.2626325331,14438.021654979,-7199.96699819307,n/a,n/a,1.03229888364889,0.219332566168009,0.219332566168009,0.280667433831991,0.280667433831991,0.05,0.07,0.14,0.05,0.14,0.07,0.05,0.11,0.07,0.11,0.05,0.07
GTR,25,14574.3938732708,14397.7957139824,-7173.82283390716,n/a,n/a,1.03135978134652,0.22566168009206,0.213003452243959,0.275143843498274,0.286191024165708,0.04,0.08,0.12,0.04,0.17,0.04,0.07,0.13,0.09,0.1,0.03,0.08
TN93,22,14588.5292958345,14433.1076397726,-7194.49543751642,n/a,n/a,1.03343817868925,0.22566168009206,0.213003452243959,0.275143843498274,0.286191024165708,0.05,0.07,0.12,0.05,0.16,0.07,0.05,0.13,0.07,0.1,0.05,0.07
HKY,21,14593.6596296,14445.2977360013,-7201.59556850827,n/a,n/a,1.03149430841736,0.22566168009206,0.213003452243959,0.275143843498274,0.286191024165708,0.05,0.07,0.15,0.06,0.14,0.07,0.06,0.11,0.07,0.12,0.05,0.07
K2,18,14602.2356966666,14475.055872373,-7219.48849436897,n/a,n/a,1.02782012732702,0.25,0.25,0.25,0.25,0.06,0.06,0.13,0.06,0.13,0.06,0.06,0.13,0.06,0.13,0.06,0.06
JC,17,14738.4064941738,14618.2882864191,-7292.10885723169,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
