Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,26429.7825098594,26218.6191136525,-13082.2685634416,0.291444612396224,1.39787246428733,1.7409818576075,0.226962642122361,0.210774228478614,0.270763400108284,0.291499729290742,0.02,0.05,0.13,0.02,0.23,0.04,0.05,0.18,0.07,0.1,0.03,0.07
TN93+G+I,24,26445.9439202111,26258.2353047358,-13105.0851232272,0.300870127480132,1.45409964782635,1.74035054288751,0.226962642122361,0.210774228478614,0.270763400108284,0.291499729290742,0.04,0.05,0.13,0.04,0.23,0.05,0.04,0.18,0.05,0.1,0.04,0.05
GTR+G,26,26450.4683403873,26247.1229869279,-13097.5234302421,n/a,0.494446642000009,1.79401684383758,0.226962642122361,0.210774228478614,0.270763400108284,0.291499729290742,0.02,0.06,0.13,0.02,0.24,0.04,0.05,0.18,0.07,0.1,0.03,0.07
T92+G+I,21,26458.8515944929,26294.5997166861,-13126.2748149779,0.289874077481163,1.33347943655378,1.67916439536689,0.218868435300487,0.218868435300487,0.281131564699513,0.281131564699513,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
TN93+G,23,26470.9943008788,26291.1043805694,-13122.5222650977,n/a,0.483416078911892,1.81180358045421,0.226962642122361,0.210774228478614,0.270763400108284,0.291499729290742,0.04,0.05,0.13,0.04,0.23,0.05,0.04,0.18,0.05,0.1,0.04,0.05
T92+G,20,26476.8898608495,26320.4573303087,-13140.2058996928,n/a,0.484838062777958,1.74380213707009,0.218868435300487,0.218868435300487,0.281131564699513,0.281131564699513,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
HKY+G+I,23,26495.831940024,26315.9420197146,-13134.9410846703,0.289698249833551,1.3329130325395,1.685522767689,0.226962642122361,0.210774228478614,0.270763400108284,0.291499729290742,0.04,0.05,0.18,0.04,0.17,0.05,0.04,0.13,0.05,0.14,0.04,0.05
HKY+G,22,26513.8228534238,26341.7518456824,-13148.8484929068,n/a,0.485357488440385,1.75169341197831,0.226962642122361,0.210774228478614,0.270763400108284,0.291499729290742,0.04,0.05,0.19,0.04,0.17,0.05,0.04,0.13,0.05,0.15,0.04,0.05
TN93+I,23,26573.3162142309,26393.4262939216,-13173.6832217737,0.387860987834459,n/a,1.51282174552331,0.226962642122361,0.210774228478614,0.270763400108284,0.291499729290742,0.04,0.05,0.13,0.04,0.21,0.06,0.04,0.16,0.06,0.1,0.04,0.05
K2+G+I,20,26589.2479859123,26432.8154553715,-13196.3849622242,0.296342705221196,1.51576811712054,1.58212658688637,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
GTR+I,26,26590.9568387443,26387.6114852849,-13167.7676794207,0.387732708855374,n/a,1.36401381668484,0.226962642122361,0.210774228478614,0.270763400108284,0.291499729290742,0.05,0.05,0.14,0.05,0.19,0.05,0.04,0.15,0.08,0.11,0.03,0.07
T92+I,20,26593.8551846977,26437.422654157,-13198.6885616169,0.389995959832737,n/a,1.47749397595603,0.218868435300487,0.218868435300487,0.281131564699513,0.281131564699513,0.04,0.06,0.17,0.04,0.17,0.06,0.04,0.13,0.06,0.13,0.04,0.06
K2+G,19,26610.8356150063,26462.2226490275,-13212.0907283078,n/a,0.515515852683473,1.63662708185599,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
HKY+I,22,26630.8487950758,26458.7777873343,-13207.3614637328,0.389915302747507,n/a,1.47728707897234,0.226962642122361,0.210774228478614,0.270763400108284,0.291499729290742,0.04,0.05,0.17,0.05,0.16,0.06,0.05,0.13,0.06,0.14,0.04,0.05
K2+I,19,26704.5162038468,26555.9032378681,-13258.9310227281,0.388233462775194,n/a,1.42898077898599,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,27117.883557809,26969.2705918303,-13465.6146997092,0.306738945393547,1.90688984760255,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,27146.4384438441,27005.645259688,-13484.8040942633,n/a,0.569979765066474,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,27205.5233530139,27064.7301688578,-13514.3465488482,0.385142323216128,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,27728.223814284,27532.6967210803,-13741.3131187271,n/a,n/a,1.12744911252663,0.226962642122361,0.210774228478614,0.270763400108284,0.291499729290742,0.04,0.06,0.13,0.05,0.17,0.05,0.05,0.13,0.09,0.1,0.03,0.09
TN93,22,27762.2695685001,27590.1985607587,-13773.0718504449,n/a,n/a,1.2657139080873,0.226962642122361,0.210774228478614,0.270763400108284,0.291499729290742,0.05,0.06,0.13,0.05,0.18,0.06,0.05,0.14,0.06,0.1,0.05,0.06
T92,19,27769.3878321632,27620.7748661845,-13791.3668368863,n/a,n/a,1.2606829277004,0.218868435300487,0.218868435300487,0.281131564699513,0.281131564699513,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
HKY,21,27804.4507782671,27640.1989004603,-13799.074406865,n/a,n/a,1.25959457813695,0.226962642122361,0.210774228478614,0.270763400108284,0.291499729290742,0.05,0.06,0.16,0.05,0.15,0.06,0.05,0.12,0.06,0.13,0.05,0.06
K2,18,27822.5827899206,27681.7896057646,-13822.8762673016,n/a,n/a,1.25324271791541,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
JC,17,28269.8947987651,28136.9216136571,-14051.4442232604,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
