Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,18312.1234660938,18166.2519065872,-9063.08738225861,n/a,0.642944182392894,1.28881677731523,0.211961503208066,0.211961503208066,0.288038496791934,0.288038496791934,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
T92+G+I,21,18317.638284411,18164.4770118262,-9061.19607387782,0.116547062827517,0.970748548835005,1.26909143897354,0.211961503208066,0.211961503208066,0.288038496791934,0.288038496791934,0.05,0.06,0.16,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
GTR+G,26,18326.2270491026,18136.6227455986,-9042.24686852656,n/a,0.652757194289985,1.28980393041049,0.207057745187901,0.216865261228231,0.279468377635197,0.296608615948671,0.03,0.07,0.14,0.03,0.19,0.03,0.06,0.15,0.09,0.1,0.02,0.08
GTR+G+I,27,18333.5363802932,18136.6445782118,-9041.25281658245,0.0869188825663555,0.868860837337909,1.2816565012111,0.207057745187901,0.216865261228231,0.279468377635197,0.296608615948671,0.03,0.07,0.14,0.03,0.19,0.03,0.05,0.15,0.09,0.1,0.02,0.08
TN93+G,23,18338.0757522593,18170.3361601073,-9062.11737272313,n/a,0.637632254729042,1.31127271495226,0.207057745187901,0.216865261228231,0.279468377635197,0.296608615948671,0.05,0.06,0.14,0.04,0.19,0.06,0.04,0.15,0.06,0.1,0.05,0.06
HKY+G,22,18339.5025615531,18179.0519447193,-9067.47949490946,n/a,0.64860959581902,1.28057112506018,0.207057745187901,0.216865261228231,0.279468377635197,0.296608615948671,0.05,0.06,0.17,0.04,0.16,0.06,0.04,0.12,0.06,0.12,0.05,0.06
TN93+G+I,24,18343.3252415829,18168.2970431453,-9060.09339984551,0.118496085176277,0.972000695561451,1.29075334411937,0.207057745187901,0.216865261228231,0.279468377635197,0.296608615948671,0.05,0.06,0.14,0.04,0.19,0.06,0.04,0.15,0.06,0.1,0.05,0.06
HKY+G+I,23,18345.1597621386,18177.4201699866,-9065.65937766281,0.114482787188984,0.971648057647578,1.26124361240569,0.207057745187901,0.216865261228231,0.279468377635197,0.296608615948671,0.05,0.06,0.17,0.05,0.16,0.06,0.05,0.12,0.06,0.12,0.05,0.06
K2+G,19,18427.5297500342,18288.9482723336,-9125.43924176826,n/a,0.690718475303333,1.2056753010417,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
K2+G+I,20,18431.9217081961,18286.0501486895,-9122.98650330978,0.126199817235214,1.10130643412963,1.18732692830234,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
