Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,3288.93316148617,3178.20043261819,-1569.95001868064,n/a,0.313472614608793,1.61724258850291,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G,20,3293.95472704359,3177.40990137426,-1568.53887714027,n/a,0.310876540452095,1.62896638539722,0.262941176470588,0.262941176470588,0.237058823529412,0.237058823529412,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G+I,20,3296.03171763684,3179.4868919675,-1569.57737243689,0.247443419891867,0.575219680045582,1.58672191860907,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+G+I,21,3301.09258503193,3178.73726995985,-1568.18588181537,0.24656709620611,0.568893685562674,1.59853351938218,0.262941176470588,0.262941176470588,0.237058823529412,0.237058823529412,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.16,0.05,0.16,0.05,0.05
TN93+G,23,3302.79422591225,3168.82276186657,-1561.19285361737,n/a,0.306161750027165,1.89648611402381,0.294509803921569,0.231372549019608,0.231764705882353,0.242352941176471,0.04,0.04,0.08,0.05,0.25,0.04,0.05,0.24,0.04,0.09,0.04,0.04
TN93+G+I,24,3309.04390475067,3169.26678495976,-1560.39576871751,0.274835849462294,0.626891174630669,1.8404825121567,0.294509803921569,0.231372549019608,0.231764705882353,0.242352941176471,0.04,0.04,0.08,0.05,0.24,0.04,0.05,0.24,0.04,0.09,0.04,0.04
HKY+G,22,3312.0101026515,3183.84590748354,-1569.72271630607,n/a,0.308108253570824,1.68778612927429,0.294509803921569,0.231372549019608,0.231764705882353,0.242352941176471,0.04,0.04,0.15,0.05,0.15,0.05,0.05,0.14,0.05,0.18,0.04,0.04
K2+I,19,3314.72573381222,3203.99300494424,-1582.84630484366,0.463251122807181,n/a,1.29670179570961,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY+G+I,23,3318.99846384724,3185.02699980156,-1569.29497258487,0.276341743478139,0.626813398475501,1.65282301557538,0.294509803921569,0.231372549019608,0.231764705882353,0.242352941176471,0.04,0.04,0.15,0.06,0.14,0.05,0.06,0.14,0.05,0.18,0.04,0.04
T92+I,20,3319.78882170942,3203.24399604008,-1581.45592447318,0.46343327361242,n/a,1.30300366505818,0.262941176470588,0.262941176470588,0.237058823529412,0.237058823529412,0.06,0.05,0.13,0.06,0.13,0.05,0.06,0.15,0.05,0.15,0.06,0.05
