Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,3858.83841440445,3740.22604201798,-1851.0135445692,n/a,0.213208994086356,3.04581689780157,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
K2+G+I,20,3860.27663451766,3735.43203447326,-1847.60604080301,0.441985852837298,0.579089629567263,3.10978687516779,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
T92+G,20,3863.70856836629,3738.86396832189,-1849.32200772733,n/a,0.21185698563928,3.10654170243056,0.227604166666667,0.227604166666667,0.272395833333333,0.272395833333333,0.03,0.03,0.21,0.03,0.21,0.03,0.03,0.17,0.03,0.17,0.03,0.03
T92+G+I,21,3864.98023775895,3733.9044687261,-1845.83122860087,0.449656217143367,0.59354798634977,3.18388026760534,0.227604166666667,0.227604166666667,0.272395833333333,0.272395833333333,0.03,0.03,0.21,0.03,0.21,0.03,0.03,0.17,0.03,0.17,0.03,0.03
TN93+G+I,24,3867.01572527756,3717.25280962108,-1834.4691308918,0.467345588557465,0.651177205822337,3.4449033278203,0.200520833333333,0.2546875,0.23203125,0.312760416666667,0.03,0.03,0.14,0.02,0.26,0.03,0.02,0.29,0.03,0.09,0.03,0.03
TN93+G,23,3867.21368530957,3723.67875763729,-1838.6947247306,n/a,0.211245713181248,3.34871157494995,0.200520833333333,0.2546875,0.23203125,0.312760416666667,0.03,0.03,0.15,0.02,0.25,0.04,0.02,0.28,0.04,0.09,0.03,0.03
HKY+G,22,3869.57895364881,3732.27307512901,-1844.003972723,n/a,0.209746753024468,3.18959820602888,0.200520833333333,0.2546875,0.23203125,0.312760416666667,0.03,0.03,0.24,0.02,0.18,0.04,0.02,0.2,0.04,0.15,0.03,0.03
HKY+G+I,23,3870.9684723116,3727.43354463932,-1840.57211823161,0.442243706795809,0.569145053696137,3.25851523502014,0.200520833333333,0.2546875,0.23203125,0.312760416666667,0.03,0.03,0.24,0.02,0.18,0.04,0.02,0.2,0.04,0.15,0.03,0.03
GTR+G+I,27,3877.58944140927,3709.14893716114,-1827.37614748928,0.497195401326506,0.798444188478984,3.34655250569493,0.200520833333333,0.2546875,0.23203125,0.312760416666667,0.03,0.05,0.14,0.02,0.26,0.05,0.04,0.28,0,0.09,0.04,0
GTR+G,26,3877.9305034216,3715.7147986412,-1831.67329231824,n/a,0.212128781796889,3.25209821634794,0.200520833333333,0.2546875,0.23203125,0.312760416666667,0.03,0.05,0.15,0.03,0.25,0.05,0.04,0.27,0,0.09,0.04,0
