Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
T92+G,20,4839.38866820486,4707.43902698452,-2333.64229341504,n/a,0.153650441898589,4.62045105238921,0.230128205128205,0.230128205128205,0.269871794871795,0.269871794871795,0.02,0.02,0.22,0.02,0.22,0.02,0.02,0.19,0.02,0.19,0.02,0.02
K2+G,19,4840.09324739123,4714.73407596754,-2338.29718504259,n/a,0.156843842164045,4.45611689160973,0.25,0.25,0.25,0.25,0.02,0.02,0.2,0.02,0.2,0.02,0.02,0.2,0.02,0.2,0.02,0.02
TN93+G,23,4844.55640594782,4692.83980287455,-2323.31835618341,n/a,0.155806617578506,5.39385943737513,0.232051282051282,0.228205128205128,0.235714285714286,0.304029304029304,0.02,0.02,0.12,0.02,0.32,0.02,0.02,0.31,0.02,0.09,0.02,0.02
TN93+G+I,24,4846.07528572837,4687.77117924699,-2319.77519403932,0.427134503109485,0.33550556966412,7.23378549875998,0.232051282051282,0.228205128205128,0.235714285714286,0.304029304029304,0.01,0.01,0.09,0.01,0.37,0.02,0.01,0.35,0.02,0.07,0.01,0.01
T92+G+I,21,4847.99389198881,4709.45452195537,-2333.64230327264,0.00001,0.153643858136543,4.62411122026292,0.230128205128205,0.230128205128205,0.269871794871795,0.269871794871795,0.02,0.02,0.22,0.02,0.22,0.02,0.02,0.19,0.02,0.19,0.02,0.02
K2+G+I,20,4848.69855349592,4716.74891227559,-2338.29723606057,8.42468253968254E-6,0.156846918946073,4.45782035015834,0.25,0.25,0.25,0.25,0.02,0.02,0.2,0.02,0.2,0.02,0.02,0.2,0.02,0.2,0.02,0.02
HKY+G,22,4859.07663067061,4713.94827321648,-2334.88107057918,n/a,0.151981892267773,4.92802042663718,0.232051282051282,0.228205128205128,0.235714285714286,0.304029304029304,0.02,0.02,0.25,0.02,0.2,0.03,0.02,0.19,0.03,0.19,0.02,0.02
K2+I,19,4863.1900612486,4737.83088982491,-2349.84559197128,0.679949371053596,n/a,3.76859499763907,0.25,0.25,0.25,0.25,0.03,0.03,0.2,0.03,0.2,0.03,0.03,0.2,0.03,0.2,0.03,0.03
T92+I,20,4864.06005586345,4732.11041464311,-2345.97798724433,0.680275432490194,n/a,3.82479154548051,0.230128205128205,0.230128205128205,0.269871794871795,0.269871794871795,0.02,0.03,0.21,0.02,0.21,0.03,0.02,0.18,0.03,0.18,0.02,0.03
HKY+G+I,23,4867.57700082369,4715.86039775042,-2334.82865362135,0.0542881131079043,0.163128613872907,5.01770052128053,0.232051282051282,0.228205128205128,0.235714285714286,0.304029304029304,0.02,0.02,0.25,0.02,0.2,0.03,0.02,0.19,0.03,0.19,0.02,0.02
GTR+G,26,4868.8531906394,4697.37630561419,-2322.55894242609,n/a,0.156024466596256,5.4655431061379,0.232051282051282,0.228205128205128,0.235714285714286,0.304029304029304,0.01,0.02,0.12,0.01,0.32,0.02,0.02,0.31,0.02,0.09,0.02,0.02
GTR+G+I,27,4870.68564453079,4692.6234851903,-2319.17256733742,0.426891042176778,0.339078353886436,7.17018333657818,0.232051282051282,0.228205128205128,0.235714285714286,0.304029304029304,0.01,0.02,0.09,0.01,0.36,0.02,0.02,0.35,0.02,0.07,0.01,0.02
TN93+I,23,4878.50391585194,4726.78731277867,-2340.29211113547,0.672396134615141,n/a,3.76331022493879,0.232051282051282,0.228205128205128,0.235714285714286,0.304029304029304,0.02,0.02,0.17,0.02,0.25,0.03,0.02,0.25,0.03,0.13,0.02,0.02
HKY+I,22,4887.33406566706,4742.20570821293,-2349.0097880774,0.680435415537038,n/a,3.94533746853273,0.232051282051282,0.228205128205128,0.235714285714286,0.304029304029304,0.02,0.02,0.24,0.02,0.19,0.03,0.02,0.18,0.03,0.19,0.02,0.02
GTR+I,26,4902.71705161503,4731.24016658983,-2339.49087291391,0.672732336305154,n/a,3.7833767212565,0.232051282051282,0.228205128205128,0.235714285714286,0.304029304029304,0.01,0.03,0.17,0.02,0.26,0.04,0.03,0.25,0.03,0.13,0.03,0.02
JC+G,18,5129.44262989518,5010.67466884314,-2487.27447832894,n/a,0.179430343988232,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,5137.99059954397,5019.22263849193,-2491.54846315333,0.673339606229685,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,5138.04798220278,5012.68881077909,-2487.27455244837,0.00001,0.179404157097565,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,5256.32656294719,5111.19820549306,-2533.50603671747,n/a,n/a,2.89319507955686,0.232051282051282,0.228205128205128,0.235714285714286,0.304029304029304,0.03,0.03,0.14,0.03,0.26,0.04,0.03,0.25,0.04,0.11,0.03,0.03
K2,18,5262.62968238614,5143.8617213341,-2553.86800457442,n/a,n/a,2.85506472184876,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
T92,19,5268.66519145556,5143.30602003187,-2552.58315707476,n/a,n/a,2.85896175834394,0.230128205128205,0.230128205128205,0.269871794871795,0.269871794871795,0.03,0.03,0.2,0.03,0.2,0.03,0.03,0.17,0.03,0.17,0.03,0.03
GTR,25,5279.18772669538,5114.29685942667,-2532.02881248845,n/a,n/a,2.89668360372764,0.232051282051282,0.228205128205128,0.235714285714286,0.304029304029304,0.02,0.03,0.14,0.02,0.26,0.04,0.03,0.25,0.04,0.11,0.03,0.03
HKY,21,5296.26232749153,5157.72295745808,-2557.776521024,n/a,n/a,2.85740909560922,0.232051282051282,0.228205128205128,0.235714285714286,0.304029304029304,0.03,0.03,0.23,0.03,0.17,0.04,0.03,0.17,0.04,0.17,0.03,0.03
JC,17,5502.60579326047,5390.42978274682,-2678.15866204595,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
