Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,3272.4891688255,3151.75035654746,-1556.78618529949,n/a,0.119085681382552,1.68917811514454,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
T92+G,20,3281.79627595997,3154.71220311436,-1557.25771786077,n/a,0.119051816822412,1.68691582729592,0.246153846153846,0.246153846153846,0.253846153846154,0.253846153846154,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.15,0.05,0.15,0.05,0.05
K2+G+I,20,3288.34117633602,3161.25710349041,-1560.53016804879,0,0.115654949187341,2.64556669729545,0.25,0.25,0.25,0.25,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
T92+G+I,21,3297.69982399785,3164.27143659284,-1561.02747087374,0.00001,0.115640001361735,2.64494052766295,0.246153846153846,0.246153846153846,0.253846153846154,0.253846153846154,0.03,0.03,0.18,0.03,0.18,0.03,0.03,0.18,0.03,0.18,0.03,0.03
HKY+G,22,3297.94086118397,3158.16910589286,-1556.96596846084,n/a,0.117870138654331,1.72758443206585,0.272261072261072,0.22004662004662,0.246153846153846,0.261538461538462,0.04,0.05,0.17,0.05,0.16,0.05,0.05,0.14,0.05,0.17,0.04,0.05
TN93+G,23,3304.80636573067,3158.69218989247,-1556.21669972823,n/a,0.124046900089179,1.68653909168059,0.272261072261072,0.22004662004662,0.246153846153846,0.261538461538462,0.04,0.05,0.14,0.05,0.18,0.05,0.05,0.16,0.05,0.15,0.04,0.05
HKY+G+I,23,3306.30506317069,3160.19088733249,-1556.96604844824,0.00001,0.117876917586454,1.727745402331,0.272261072261072,0.22004662004662,0.246153846153846,0.261538461538462,0.04,0.05,0.17,0.05,0.16,0.05,0.05,0.14,0.05,0.17,0.04,0.05
TN93+G+I,24,3313.17053005933,3160.71488167941,-1556.2167608866,9.99E-6,0.124039859223948,1.68660392352358,0.272261072261072,0.22004662004662,0.246153846153846,0.261538461538462,0.04,0.05,0.14,0.05,0.18,0.05,0.05,0.16,0.05,0.15,0.04,0.05
GTR+G,26,3316.45359222239,3151.31784544373,-1549.49424995621,n/a,0.125337644770761,1.66543428816149,0.272261072261072,0.22004662004662,0.246153846153846,0.261538461538462,0.08,0.02,0.14,0.1,0.18,0.05,0.02,0.16,0.03,0.14,0.04,0.03
JC+G,18,3318.92776277022,3204.53515640343,-1584.18750327781,n/a,0.122642864465454,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR+G+I,27,3320.81502949912,3149.34065819928,-1547.49294758861,0.714022979153881,6.33944465524086,1.64984072123649,0.272261072261072,0.22004662004662,0.246153846153846,0.261538461538462,0.08,0.02,0.14,0.1,0.18,0.05,0.02,0.16,0.03,0.15,0.04,0.03
JC+G+I,19,3327.29197646779,3206.55316418975,-1584.18758912064,0.00001,0.122608703101092,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2+I,19,3367.73343209622,3246.99461981818,-1604.40831693485,0.382284382284382,n/a,1.43411202917882,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
T92+I,20,3376.77246290342,3249.68839005781,-1604.74581133249,0.382284382284382,n/a,1.43412334753175,0.246153846153846,0.246153846153846,0.253846153846154,0.253846153846154,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
HKY+I,22,3393.12699332761,3253.3552380365,-1604.55903453266,0.382284382284382,n/a,1.44507787926756,0.272261072261072,0.22004662004662,0.246153846153846,0.261538461538462,0.05,0.05,0.15,0.06,0.15,0.05,0.06,0.13,0.05,0.16,0.05,0.05
TN93+I,23,3395.29743972507,3249.18326388686,-1601.46223672543,0.382284382284382,n/a,1.43542003586275,0.272261072261072,0.22004662004662,0.246153846153846,0.261538461538462,0.04,0.05,0.12,0.06,0.19,0.05,0.06,0.17,0.05,0.12,0.04,0.05
GTR+I,26,3402.88275976103,3237.74701298237,-1592.70883372553,0.382284382284382,n/a,1.41533376808717,0.272261072261072,0.22004662004662,0.246153846153846,0.261538461538462,0.09,0.02,0.11,0.11,0.19,0.05,0.03,0.17,0.03,0.12,0.04,0.03
JC+I,18,3407.75549669032,3293.36289032353,-1628.60137023786,0.382284382284382,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
K2,18,3459.43606669816,3345.04346033138,-1654.44165524178,n/a,n/a,1.37681109356955,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
T92,19,3468.39916763561,3347.66035535757,-1654.74118470455,n/a,n/a,1.37704872202938,0.246153846153846,0.246153846153846,0.253846153846154,0.253846153846154,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.14,0.05,0.14,0.05,0.05
HKY,21,3484.97328254611,3351.54489514111,-1654.66420014787,n/a,n/a,1.37578659257578,0.272261072261072,0.22004662004662,0.246153846153846,0.261538461538462,0.05,0.05,0.15,0.06,0.14,0.06,0.06,0.13,0.06,0.16,0.05,0.05
