Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
K2+G,19,2906.05669489685,2782.45940247294,-1372.15308833325,n/a,0.130066422886852,1.33643762494442,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
K2+G+I,20,2912.66683557014,2782.57252115948,-1371.20156608488,0.577458306651016,0.685387211397038,1.35778463059676,0.25,0.25,0.25,0.25,0.05,0.05,0.14,0.05,0.14,0.05,0.05,0.14,0.05,0.14,0.05,0.05
T92+G,20,2915.92428230155,2785.82996789089,-1372.83028945059,n/a,0.130240113888555,1.33751955104467,0.238654618473896,0.238654618473896,0.261345381526104,0.261345381526104,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.14,0.06,0.14,0.05,0.06
JC+G,18,2921.87640371076,2804.77694607876,-1384.31953532521,n/a,0.137012275377008,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92+G+I,21,2922.62854393847,2786.03802083802,-1371.92582768404,0.576204814454959,0.686785646791749,1.35734057367036,0.238654618473896,0.238654618473896,0.261345381526104,0.261345381526104,0.05,0.06,0.15,0.05,0.15,0.06,0.05,0.14,0.06,0.14,0.05,0.06
TN93+G,23,2923.51473108227,2773.9342324624,-1363.85573608592,n/a,0.162265974099103,1.41341313693327,0.247991967871486,0.229317269076305,0.245381526104418,0.277309236947791,0.05,0.05,0.06,0.05,0.24,0.06,0.05,0.23,0.06,0.06,0.05,0.05
JC+G+I,19,2928.9436235541,2805.34633113019,-1383.59655266187,0.555639566084055,0.662693062368206,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93+G+I,24,2929.92674144222,2773.85247697832,-1362.80514868089,0.513989547202341,0.587384450758566,1.44870738306217,0.247991967871486,0.229317269076305,0.245381526104418,0.277309236947791,0.05,0.05,0.06,0.05,0.25,0.06,0.05,0.23,0.06,0.06,0.05,0.05
GTR+G,26,2934.49230816496,2765.4329583114,-1356.57474687224,n/a,0.164909721177852,1.3832844399034,0.247991967871486,0.229317269076305,0.245381526104418,0.277309236947791,0.09,0.04,0.06,0.09,0.24,0.07,0.04,0.22,0.01,0.06,0.06,0.01
HKY+G,22,2935.66468592017,2792.57876791912,-1374.18730608988,n/a,0.129155744710656,1.36246518626042,0.247991967871486,0.229317269076305,0.245381526104418,0.277309236947791,0.05,0.05,0.16,0.05,0.14,0.06,0.05,0.13,0.06,0.14,0.05,0.05
GTR+G+I,27,2941.05338605088,2765.50271763969,-1355.59869323019,0.487168586397997,0.527666105061821,1.40890597245785,0.247991967871486,0.229317269076305,0.245381526104418,0.277309236947791,0.09,0.04,0.06,0.1,0.24,0.07,0.04,0.23,0.01,0.06,0.06,0.01
HKY+G+I,23,2942.38578780455,2792.80528918468,-1373.29126444706,0.577033131466153,0.685335591350074,1.38130725381285,0.247991967871486,0.229317269076305,0.245381526104418,0.277309236947791,0.05,0.05,0.16,0.05,0.14,0.06,0.05,0.13,0.06,0.14,0.05,0.05
K2+I,19,2944.20973907248,2820.61244664858,-1391.22961042106,0.416666666666667,n/a,1.21974309595447,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
T92+I,20,2954.0130805912,2823.91876618054,-1391.87468859541,0.416666666666667,n/a,1.22210456251802,0.238654618473896,0.238654618473896,0.261345381526104,0.261345381526104,0.05,0.06,0.14,0.05,0.14,0.06,0.05,0.13,0.06,0.13,0.05,0.06
TN93+I,23,2957.06117962348,2807.48068100361,-1380.62896035652,0.416666666666667,n/a,1.30135635484064,0.247991967871486,0.229317269076305,0.245381526104418,0.277309236947791,0.05,0.05,0.06,0.05,0.23,0.06,0.05,0.22,0.06,0.06,0.05,0.05
JC+I,18,2957.75364364018,2840.65418600818,-1402.25815528992,0.416666666666667,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR+I,26,2967.86971176504,2798.81036191148,-1373.26344867228,0.416666666666667,n/a,1.29477374676959,0.247991967871486,0.229317269076305,0.245381526104418,0.277309236947791,0.08,0.04,0.06,0.09,0.23,0.08,0.04,0.22,0.01,0.06,0.06,0.01
HKY+I,22,2974.09695282652,2831.01103482547,-1393.40343954306,0.416666666666667,n/a,1.22923789424356,0.247991967871486,0.229317269076305,0.245381526104418,0.277309236947791,0.05,0.06,0.15,0.06,0.14,0.06,0.06,0.13,0.06,0.14,0.05,0.06
K2,18,2974.50558990738,2857.40613227539,-1410.63412842352,n/a,n/a,1.19031675829106,0.25,0.25,0.25,0.25,0.06,0.06,0.14,0.06,0.14,0.06,0.06,0.14,0.06,0.14,0.06,0.06
T92,19,2984.32646063526,2860.72916821136,-1411.28797120245,n/a,n/a,1.19172098178767,0.238654618473896,0.238654618473896,0.261345381526104,0.261345381526104,0.05,0.06,0.14,0.05,0.14,0.06,0.05,0.13,0.06,0.13,0.05,0.06
JC,17,2987.44535481659,2876.84454429024,-1421.36060346314,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,2987.45775632455,2844.3718383235,-1400.08384129207,n/a,n/a,1.23783775281544,0.247991967871486,0.229317269076305,0.245381526104418,0.277309236947791,0.05,0.05,0.07,0.05,0.22,0.06,0.05,0.21,0.06,0.06,0.05,0.05
HKY,21,3004.54337793351,2867.95285483306,-1412.88324468156,n/a,n/a,1.19223819851282,0.247991967871486,0.229317269076305,0.245381526104418,0.277309236947791,0.05,0.06,0.15,0.06,0.13,0.06,0.06,0.12,0.06,0.13,0.05,0.06
GTR,25,3007.33059593087,2844.76338089114,-1397.2504833402,n/a,n/a,0.936847969288711,0.247991967871486,0.229317269076305,0.245381526104418,0.277309236947791,0.08,0.05,0.07,0.09,0.19,0.08,0.05,0.17,0.05,0.06,0.06,0.05
