Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
GTR+G+I,27,32621.4761028708,32388.0663501006,-16167.0151759074,0.618344420315802,1.37265561233609,2.2560809980177,0.234118486795146,0.219747799191054,0.259671663097787,0.286462050916012,0.04,0.02,0.12,0.05,0.26,0.07,0.02,0.22,0.03,0.1,0.05,0.03
GTR+G,26,32632.3209240967,32407.5547381525,-16177.7606559844,n/a,0.17057977712825,2.1947657360108,0.234118486795146,0.219747799191054,0.259671663097787,0.286462050916012,0.04,0.02,0.13,0.05,0.25,0.07,0.02,0.21,0.03,0.1,0.05,0.03
GTR+I,26,32671.8411939985,32447.0750080544,-16197.5207909353,0.6960974392377,n/a,2.05763510207624,0.234118486795146,0.219747799191054,0.259671663097787,0.286462050916012,0.04,0.02,0.14,0.05,0.23,0.07,0.02,0.2,0.03,0.11,0.06,0.03
TN93+G+I,24,32680.2299043535,32472.7511381091,-16212.3612850408,0.56216328540372,0.787371726826977,2.83915835470372,0.234118486795146,0.219747799191054,0.259671663097787,0.286462050916012,0.03,0.03,0.11,0.03,0.3,0.04,0.03,0.25,0.04,0.09,0.03,0.03
TN93+G,23,32686.2634728627,32487.4285594785,-16220.7011387594,n/a,0.171262322988185,2.62263886503704,0.234118486795146,0.219747799191054,0.259671663097787,0.286462050916012,0.03,0.04,0.12,0.03,0.28,0.04,0.03,0.23,0.04,0.1,0.03,0.04
T92+G,20,32715.2469369449,32542.3441541001,-16251.1620791924,n/a,0.158651748773262,2.22193799231537,0.2269331429931,0.2269331429931,0.2730668570069,0.2730668570069,0.04,0.04,0.19,0.04,0.19,0.04,0.04,0.16,0.04,0.16,0.04,0.04
K2+G,19,32733.9437901919,32569.6852414906,-16265.83357528,n/a,0.160185200719665,2.20030805437474,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
TN93+I,23,32740.637685619,32541.8027722347,-16247.8882451375,0.692112100455264,n/a,1.78393663866129,0.234118486795146,0.219747799191054,0.259671663097787,0.286462050916012,0.04,0.05,0.11,0.04,0.24,0.05,0.04,0.2,0.05,0.09,0.04,0.05
HKY+G,22,32755.3036659767,32565.1127007836,-16260.5443047803,n/a,0.157893696304524,2.26598405777109,0.234118486795146,0.219747799191054,0.259671663097787,0.286462050916012,0.03,0.04,0.2,0.04,0.18,0.04,0.04,0.15,0.04,0.16,0.03,0.04
T92+G+I,21,32757.4254109564,32575.8784892787,-16266.9282467342,0.00001,0.155226552351236,2.92860841867613,0.2269331429931,0.2269331429931,0.2730668570069,0.2730668570069,0.03,0.03,0.2,0.03,0.2,0.03,0.03,0.17,0.03,0.17,0.03,0.03
K2+G+I,20,32780.4858531936,32607.5830703488,-16283.7815373168,0.0140410078156024,0.160390383388436,2.95375455314257,0.25,0.25,0.25,0.25,0.03,0.03,0.19,0.03,0.19,0.03,0.03,0.19,0.03,0.19,0.03,0.03
HKY+G+I,23,32793.8159120005,32594.9809986162,-16274.4773583282,0.00001,0.154485304008021,2.93813504557555,0.234118486795146,0.219747799191054,0.259671663097787,0.286462050916012,0.03,0.03,0.21,0.03,0.19,0.04,0.03,0.16,0.04,0.17,0.03,0.03
JC+G,18,33658.7648233404,33503.1506040865,-16733.5671613182,n/a,0.16852636914118,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G+I,19,33669.4115153743,33505.1529666731,-16733.5674378712,0.00001,0.168522590949429,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
T92+I,20,33724.7136536202,33551.8108707755,-16755.8954375301,0.369497977635023,n/a,1.87958625134815,0.2269331429931,0.2269331429931,0.2730668570069,0.2730668570069,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
K2+I,19,33738.5657575332,33574.307208832,-16768.1445589506,0.369497977635023,n/a,1.86793966635083,0.25,0.25,0.25,0.25,0.04,0.04,0.16,0.04,0.16,0.04,0.04,0.16,0.04,0.16,0.04,0.04
HKY+I,22,33771.9299760035,33581.7390108104,-16768.8574597937,0.369497977635023,n/a,1.89111175676341,0.234118486795146,0.219747799191054,0.259671663097787,0.286462050916012,0.04,0.04,0.19,0.04,0.17,0.05,0.04,0.14,0.05,0.15,0.04,0.04
JC+I,18,34573.8283090583,34418.2140898045,-17191.0989041772,0.369497977635023,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GTR,25,34623.157251215,34407.0347274485,-17178.5018890075,n/a,n/a,1.7776992473335,0.234118486795146,0.219747799191054,0.259671663097787,0.286462050916012,0.04,0.03,0.11,0.05,0.24,0.07,0.02,0.2,0.04,0.09,0.06,0.04
TN93,22,34666.1721112645,34475.9811460714,-17215.9785274243,n/a,n/a,1.78295683112796,0.234118486795146,0.219747799191054,0.259671663097787,0.286462050916012,0.04,0.05,0.11,0.04,0.24,0.05,0.04,0.2,0.05,0.09,0.04,0.05
T92,19,34834.6083823925,34670.3498336912,-17316.1658713803,n/a,n/a,1.7750011526493,0.2269331429931,0.2269331429931,0.2730668570069,0.2730668570069,0.04,0.05,0.18,0.04,0.18,0.05,0.04,0.15,0.05,0.15,0.04,0.05
K2,18,34839.757574739,34684.1433554851,-17324.0635370175,n/a,n/a,1.77288153113138,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
HKY,21,34885.0210778095,34703.4741561319,-17330.7260801608,n/a,n/a,1.77369108665104,0.234118486795146,0.219747799191054,0.259671663097787,0.286462050916012,0.04,0.05,0.18,0.04,0.17,0.05,0.04,0.14,0.05,0.15,0.04,0.05
JC,17,35642.8450704777,35495.8752759682,-17730.9303543508,n/a,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
