Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,11971.7466075335,11797.2999846027,-5874.59352171312,0.444296571245068,0.998900915282516,2.44327469339192,0.207042253521127,0.217652582159624,0.271737089201878,0.303568075117371,0.03,0.04,0.11,0.03,0.29,0.04,0.03,0.23,0.04,0.08,0.03,0.04
TN93+G,23,11980.2396520102,11813.0572991779,-5883.47670153701,n/a,0.265187229461399,2.62439363007601,0.207042253521127,0.217652582159624,0.271737089201878,0.303568075117371,0.03,0.04,0.11,0.03,0.3,0.04,0.03,0.24,0.04,0.07,0.03,0.04
GTR+G+I,27,11991.7715038954,11795.5343403489,-5870.69599713733,0.437656592571498,0.969056518149659,2.45738677355522,0.207042253521127,0.217652582159624,0.271737089201878,0.303568075117371,0.03,0.04,0.11,0.02,0.29,0.03,0.03,0.23,0.06,0.08,0.02,0.05
T92+G+I,21,11996.1763625114,11843.5236840756,-5900.71837195874,0.482593590436737,1.30620414459671,2.22169651540912,0.212347417840376,0.212347417840376,0.287652582159624,0.287652582159624,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
GTR+G,26,11999.2171604808,11810.243132086,-5879.05548301561,n/a,0.267128284634937,2.63009773552882,0.207042253521127,0.217652582159624,0.271737089201878,0.303568075117371,0.02,0.04,0.11,0.02,0.31,0.02,0.03,0.25,0.06,0.07,0.02,0.05
T92+G,20,12008.7816947219,11863.3944203706,-5911.65769564957,n/a,0.271875017851268,2.27233378876337,0.212347417840376,0.212347417840376,0.287652582159624,0.287652582159624,0.03,0.04,0.2,0.03,0.2,0.04,0.03,0.15,0.04,0.15,0.03,0.04
HKY+G+I,23,12017.8419138357,11850.6595610034,-5902.27783244976,0.478418914312913,1.25561712788206,2.24075541651521,0.207042253521127,0.217652582159624,0.271737089201878,0.303568075117371,0.03,0.04,0.21,0.03,0.19,0.05,0.03,0.15,0.05,0.14,0.03,0.04
TN93+I,23,12027.2730824547,11860.0907296224,-5906.99341675926,0.551028497674405,n/a,1.90302157929804,0.207042253521127,0.217652582159624,0.271737089201878,0.303568075117371,0.04,0.05,0.13,0.04,0.24,0.05,0.04,0.19,0.05,0.09,0.04,0.05
HKY+G,22,12029.6069127096,11869.6892080779,-5912.79698947227,n/a,0.271546777943884,2.29032573295365,0.207042253521127,0.217652582159624,0.271737089201878,0.303568075117371,0.03,0.04,0.21,0.03,0.19,0.05,0.03,0.15,0.05,0.15,0.03,0.04
T92+I,20,12038.6167202957,11893.2294459443,-5926.57520843645,0.557865735870202,n/a,1.90118668705938,0.212347417840376,0.212347417840376,0.287652582159624,0.287652582159624,0.04,0.05,0.19,0.04,0.19,0.05,0.04,0.14,0.05,0.14,0.04,0.05
GTR+I,26,12047.2031025675,11858.2290741727,-5903.04845405894,0.55101540337415,n/a,1.9256466361775,0.207042253521127,0.217652582159624,0.271737089201878,0.303568075117371,0.04,0.04,0.14,0.03,0.24,0.04,0.03,0.2,0.07,0.09,0.03,0.06
HKY+I,22,12062.5603462503,11902.6426416186,-5929.27370624264,0.557441416102253,n/a,1.90359857702595,0.207042253521127,0.217652582159624,0.271737089201878,0.303568075117371,0.04,0.05,0.2,0.04,0.18,0.05,0.04,0.14,0.05,0.14,0.04,0.05
K2+G+I,20,12064.4275859204,11919.040311569,-5939.48064124881,0.489653865605793,1.57283857664794,2.01722295067878,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
K2+G,19,12077.8098876876,11939.6883952027,-5950.80844971802,n/a,0.288722428645263,2.05783259190833,0.25,0.25,0.25,0.25,0.04,0.04,0.17,0.04,0.17,0.04,0.04,0.17,0.04,0.17,0.04,0.04
