Model,#Param,BIC,AICc,lnL,Invariant,Gamma,R,Freq A,Freq T,Freq C,Freq G,A=>T,A=>C,A=>G,T=>A,T=>C,T=>G,C=>A,C=>T,C=>G,G=>A,G=>T,G=>C
TN93+G+I,24,15521.7620414699,15342.9208407522,-7647.41337999978,0.3954852692235,0.895415076665876,2.11707523607967,0.211032863849765,0.197339593114241,0.27527386541471,0.316353677621283,0.03,0.04,0.12,0.03,0.29,0.05,0.03,0.21,0.05,0.08,0.03,0.04
GTR+G+I,27,15524.1357720307,15322.9521500127,-7634.41679018827,0.37167300794087,0.785622471931359,2.13133998562627,0.211032863849765,0.197339593114241,0.27527386541471,0.316353677621283,0.01,0.06,0.12,0.01,0.29,0.03,0.05,0.21,0.06,0.08,0.02,0.06
TN93+G,23,15532.7410398694,15361.347942634,-7657.63069756349,n/a,0.281065949954882,2.33220477034269,0.211032863849765,0.197339593114241,0.27527386541471,0.316353677621283,0.03,0.04,0.11,0.03,0.31,0.05,0.03,0.22,0.05,0.07,0.03,0.04
T92+G+I,21,15541.3798386823,15384.8838925407,-7671.40573369786,0.435688492028151,1.16031574996486,1.90667236414693,0.204186228482003,0.204186228482003,0.295813771517997,0.295813771517997,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.05
T92+G,20,15557.6993502471,15408.652451569,-7684.29330784422,n/a,0.293377140316023,1.98913982808051,0.204186228482003,0.204186228482003,0.295813771517997,0.295813771517997,0.03,0.05,0.2,0.03,0.2,0.05,0.03,0.14,0.05,0.14,0.03,0.05
GTR+G,26,15558.4589678157,15364.7225046326,-7656.30620644476,n/a,0.297090898073676,1.91421085204244,0.211032863849765,0.197339593114241,0.27527386541471,0.316353677621283,0.04,0.06,0.13,0.04,0.27,0.02,0.04,0.19,0.06,0.08,0.01,0.05
HKY+G+I,23,15583.7486424977,15412.3555452623,-7683.13449887762,0.434449681042654,1.15481017745863,1.93419018216034,0.211032863849765,0.197339593114241,0.27527386541471,0.316353677621283,0.03,0.05,0.21,0.04,0.18,0.05,0.04,0.13,0.05,0.14,0.03,0.05
HKY+G,22,15599.7571762856,15435.812497267,-7695.86658413556,n/a,0.294498429606154,2.01603162954269,0.211032863849765,0.197339593114241,0.27527386541471,0.316353677621283,0.03,0.04,0.21,0.03,0.19,0.05,0.03,0.13,0.05,0.14,0.03,0.04
TN93+I,23,15611.1764847793,15439.7833875439,-7696.84842001843,0.515826223141281,n/a,1.5947165648599,0.211032863849765,0.197339593114241,0.27527386541471,0.316353677621283,0.04,0.05,0.13,0.04,0.23,0.06,0.04,0.17,0.06,0.09,0.04,0.05
T92+I,20,15619.3512632575,15470.3043645794,-7715.11926434942,0.522149036131721,n/a,1.58770880803002,0.204186228482003,0.204186228482003,0.295813771517997,0.295813771517997,0.04,0.06,0.18,0.04,0.18,0.06,0.04,0.13,0.06,0.13,0.04,0.06
GTR+I,26,15640.1960563792,15446.4595931961,-7697.17475072649,0.516184509676767,n/a,1.44653260222467,0.211032863849765,0.197339593114241,0.27527386541471,0.316353677621283,0.04,0.06,0.14,0.04,0.22,0.05,0.04,0.16,0.07,0.09,0.03,0.06
HKY+I,22,15662.5446191163,15498.5999400976,-7727.26030555088,0.521740234615059,n/a,1.60197085661416,0.211032863849765,0.197339593114241,0.27527386541471,0.316353677621283,0.04,0.05,0.2,0.04,0.17,0.06,0.04,0.12,0.06,0.13,0.04,0.05
K2+G+I,20,15676.0250266353,15526.9781279573,-7743.45614603835,0.456484582392233,1.6090222243238,1.68247238028074,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+G,19,15698.157962637,15556.5604259348,-7759.25043240316,n/a,0.320009876442387,1.73649936776661,0.25,0.25,0.25,0.25,0.05,0.05,0.16,0.05,0.16,0.05,0.05,0.16,0.05,0.16,0.05,0.05
K2+I,19,15727.9011629305,15586.3036262283,-7774.1220325499,0.521275532439469,n/a,1.5022970193877,0.25,0.25,0.25,0.25,0.05,0.05,0.15,0.05,0.15,0.05,0.05,0.15,0.05,0.15,0.05,0.05
JC+G+I,19,15998.0687767675,15856.4712400653,-7909.20583946838,0.471367205802658,2.36560027871881,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+G,18,16026.4452537527,15892.2973934649,-7928.12189632497,n/a,0.350545560511708,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
JC+I,18,16028.8582694649,15894.7104091771,-7929.32840418105,0.518715734052803,n/a,0.5,0.25,0.25,0.25,0.25,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
TN93,22,16638.9238986061,16474.9792195874,-8215.44994529578,n/a,n/a,1.29318732271442,0.211032863849765,0.197339593114241,0.27527386541471,0.316353677621283,0.04,0.06,0.12,0.04,0.22,0.07,0.04,0.16,0.07,0.08,0.04,0.06
