"Gene","Model1","ModelCode"
"37746_rpsU","K2+G","K2_G"
"37891_rpsF","K2+G","K2_G"
"37893_rpsR","K2+G","K2_G"
"37894_rplI","K2+G","K2_G"
"37935_rpsB","K2+G","K2_G"
"38003_rsmG","T92+G+I","T92_G"
"38413_prmA","T92+G+I","T92_G"
"38440_rplM","K2+G","K2_G"
"38441_rpsI","K2+G","K2_G"
"38470_rpmA","K2+G","K2_G"
"38495_infB","TN93+G+I","TN93_G"
"38498_rpsO","K2+I","K2"
"38555_rsmB","T92+G+I","T92_G"
"38559_rplQ","K2+G","K2_G"
"38561_rpsD","K2+G","K2_G"
"38566_rplO","K2+G","K2_G"
"38567_rpmD","K2+I","K2"
"38568_rpsE","K2+G","K2_G"
"38570_rplF","K2+G","K2_G"
"38571_rpsH","K2+G","K2_G"
"38572_rpsN","K2+G","K2_G"
"38573_rplE","K2+G","K2_G"
"38574_rplX","K2+G","K2_G"
"38575_rplN","K2+G+I","K2_G"
"38576_rpsQ","K2+G","K2_G"
"38577_rpmC","K2+G","K2_G"
"38578_rplP","K2+G","K2_G"
"38579_rpsC","K2+G","K2_G"
"38580_rplV","K2+G+I","K2_G"
"38581_rpsS","K2+G","K2_G"
"38582_rplB","K2+G","K2_G"
"38583_rplW","K2+G","K2_G"
"38584_rplD","K2+G","K2_G"
"38585_rplC","K2+G","K2_G"
"38586_rpsJ","K2+G","K2_G"
"38613_rpmF","K2+G","K2_G"
"38735_rsmJ","T92+G+I","T92_G"
"38812_rpsA","K2+G","K2_G"
"38895_rpmI","K2+G","K2_G"
"38896_rplT","K2+G","K2_G"
"39397_rsmA","TN93+G+I","TN93_G"
"39418_rsmH","TN93+G+I","TN93_G"
"39814_rpmB","K2+G","K2_G"
"39815_rpmG","K2+G","K2_G"
"39858_rpmE","K2+G","K2_G"
"39935_rsmD","T92+G+I","T92_G"
"40004_rpsL","K2+G","K2_G"
"40005_rpsG","K2+G","K2_G"
"40035_rpsP","K2+G","K2_G"
"40096_rplY","K2+G","K2_G"
"40391_rplK","K2+G","K2_G"
"40392_rplA","K2+G","K2_G"
"40393_rplJ","K2+G","K2_G"
"40394_rplL","K2+G","K2_G"
